21,0 21.413.568 12 1.784.464,0 563.136,0 209.984 8.923.488 2.604.206,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.486.624 12 1.790.552,0 576.400,0 212.672 8.917.952 2.599.419,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.434.272 12 1.786.189,0 563.920,0 212.736 8.922.560 2.601.821,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.528.672 12 1.794.056,0 568.032,0 213.568 8.923.936 2.602.628,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 21.481.856 12 1.790.154,0 573.856,0 212.960 8.932.864 2.604.700,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
19,0 21.499.968 12 1.791.664,0 565.424,0 210.464 8.935.552 2.606.226,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 12.845.664 12 1.070.472,0 337.728,0 125.728 5.356.416 1.561.938,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
27,0 39.207.136 12 3.267.261,0 564.752,0 213.600 17.161.600 5.488.147,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.421.952 12 1.785.162,0 565.248,0 209.056 8.934.560 2.605.405,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.383.136 12 1.781.928,0 569.120,0 210.848 8.921.824 2.600.294,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.482.144 12 1.790.178,0 574.752,0 209.216 8.928.960 2.602.385,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.435.488 12 1.786.290,0 572.336,0 208.736 8.933.504 2.604.563,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
20,0 13.044.192 12 1.087.016,0 342.576,0 127.680 5.434.912 1.585.417,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
21,0 21.409.600 12 1.784.133,0 573.168,0 209.408 8.923.968 2.600.404,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
