      0.0            64896          1      64896.0      64896.0      64896      64896          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68192          1      68192.0      68192.0      68192      68192          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            34368          1      34368.0      34368.0      34368      34368          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67520          1      67520.0      67520.0      67520      67520          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67456          1      67456.0      67456.0      67456      67456          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68256          1      68256.0      68256.0      68256      68256          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68512          1      68512.0      68512.0      68512      68512          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67104          1      67104.0      67104.0      67104      67104          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68544          1      68544.0      68544.0      68544      68544          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67616          1      67616.0      67616.0      67616      67616          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68416          1      68416.0      68416.0      68416      68416          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67232          1      67232.0      67232.0      67232      67232          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67904          1      67904.0      67904.0      67904      67904          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68608          1      68608.0      68608.0      68608      68608          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            66848          1      66848.0      66848.0      66848      66848          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68032          1      68032.0      68032.0      68032      68032          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68672          1      68672.0      68672.0      68672      68672          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68448          1      68448.0      68448.0      68448      68448          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            38368          1      38368.0      38368.0      38368      38368          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67648          1      67648.0      67648.0      67648      67648          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68864          1      68864.0      68864.0      68864      68864          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68160          1      68160.0      68160.0      68160      68160          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67744          1      67744.0      67744.0      67744      67744          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68640          1      68640.0      68640.0      68640      68640          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67136          1      67136.0      67136.0      67136      67136          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67904          1      67904.0      67904.0      67904      67904          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            69216          1      69216.0      69216.0      69216      69216          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67680          1      67680.0      67680.0      67680      67680          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            37312          1      37312.0      37312.0      37312      37312          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68288          1      68288.0      68288.0      68288      68288          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67872          1      67872.0      67872.0      67872      67872          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67904          1      67904.0      67904.0      67904      67904          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67680          1      67680.0      67680.0      67680      67680          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            38016          1      38016.0      38016.0      38016      38016          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            35040          1      35040.0      35040.0      35040      35040          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67872          1      67872.0      67872.0      67872      67872          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68096          1      68096.0      68096.0      68096      68096          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            35072          1      35072.0      35072.0      35072      35072          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            69056          1      69056.0      69056.0      69056      69056          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68448          1      68448.0      68448.0      68448      68448          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            37024          1      37024.0      37024.0      37024      37024          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68160          1      68160.0      68160.0      68160      68160          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67264          1      67264.0      67264.0      67264      67264          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            35328          1      35328.0      35328.0      35328      35328          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            34528          1      34528.0      34528.0      34528      34528          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
