46,0 1.018.420.896 10 101.842.089,0 95.487.712,0 86.934.624 143.462.656 16.726.169,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.000.245.408 10 100.024.540,0 92.437.952,0 86.900.992 150.201.056 18.802.733,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 950.138.144 10 95.013.814,0 92.346.544,0 86.910.432 120.829.184 9.406.460,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 977.872.288 10 97.787.228,0 92.581.344,0 86.948.384 144.281.280 16.620.342,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 972.290.208 10 97.229.020,0 93.496.624,0 86.873.024 135.807.648 13.945.270,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 933.346.176 10 93.334.617,0 91.983.008,0 86.749.248 100.002.720 4.002.442,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 927.187.488 10 92.718.748,0 91.929.232,0 86.963.264 98.625.088 3.342.947,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 972.553.408 10 97.255.340,0 92.259.488,0 86.898.912 125.865.856 11.457.209,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 949.974.784 10 94.997.478,0 92.670.816,0 87.054.592 114.292.928 7.489.376,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 951.476.544 10 95.147.654,0 92.539.296,0 87.019.072 119.252.032 8.997.834,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 962.350.112 10 96.235.011,0 92.493.968,0 87.053.504 128.700.928 11.822.234,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.012.829.824 10 101.282.982,0 94.923.440,0 86.860.480 137.581.056 15.282.248,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 936.517.568 10 93.651.756,0 92.529.120,0 86.864.256 104.251.680 4.808.787,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 949.727.040 10 94.972.704,0 92.518.560,0 86.809.184 118.763.296 8.762.329,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
