47,0 971.436.704 1.023 949.596,0 818.880,0 787.392 1.733.856 274.936,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 998.782.624 1.023 976.327,0 818.336,0 790.144 1.835.296 296.554,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.675.540.032 1.023 1.637.869,0 1.630.272,0 1.108.576 1.824.704 119.615,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.032.117.344 1.023 1.008.912,0 819.456,0 788.928 1.819.872 323.271,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 998.884.544 1.023 976.426,0 819.328,0 787.968 1.798.592 304.781,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.071.638.784 1.023 1.047.545,0 976.128,0 785.440 1.813.728 301.219,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.135.023.136 1.023 1.109.504,0 955.456,0 791.936 1.831.072 390.281,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.210.758.400 1.023 1.183.537,0 978.240,0 790.464 1.834.592 407.572,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.006.832.672 1.023 984.196,0 894.176,0 789.600 1.756.064 274.779,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.021.116.256 1.023 998.158,0 819.872,0 789.792 1.833.312 323.223,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 970.170.848 1.023 948.358,0 818.912,0 787.968 1.896.832 287.347,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.195.357.696 1.023 1.168.482,0 973.216,0 820.224 1.647.488 331.458,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.532.085.632 1.023 1.497.639,0 1.612.192,0 885.248 1.814.272 280.675,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 868.639.264 1.023 849.109,0 819.904,0 789.632 1.078.720 57.068,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 1.013.988.352 1.023 991.191,0 895.456,0 787.200 1.842.752 288.728,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
46,0 865.600.544 1.023 846.139,0 819.744,0 790.432 1.030.976 50.355,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.014.071.232 1.023 991.272,0 819.264,0 790.016 1.906.752 310.476,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.004.745.472 1.023 982.155,0 832.000,0 791.232 1.874.112 292.544,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
47,0 1.162.833.248 1.023 1.136.689,0 981.824,0 785.088 1.814.848 344.158,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
45,0 1.020.792.448 1.023 997.842,0 820.288,0 789.088 1.964.192 293.167,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
