0,0 116.512 3 38.837,0 37.440,0 37.344 41.728 2.503,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 115.200 3 38.400,0 37.984,0 36.064 41.152 2.569,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 118.368 3 39.456,0 38.112,0 37.568 42.688 2.812,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.736 3 36.245,0 35.808,0 34.592 38.336 1.909,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.240 3 38.080,0 37.056,0 36.576 40.608 2.202,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.080 3 38.026,0 37.024,0 36.448 40.608 2.254,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.176 3 36.725,0 36.352,0 34.912 38.912 2.026,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.464 3 38.154,0 38.048,0 36.064 40.352 2.146,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 113.728 3 37.909,0 37.184,0 36.096 40.448 2.264,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.768 3 36.256,0 35.840,0 34.720 38.208 1.780,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 113.824 3 37.941,0 37.248,0 36.096 40.480 2.272,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.640 3 36.213,0 35.840,0 34.496 38.304 1.931,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.640 3 36.213,0 35.840,0 34.496 38.304 1.931,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.632 3 36.544,0 35.904,0 35.360 38.368 1.602,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 123.264 3 41.088,0 40.736,0 39.040 43.488 2.244,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.272 3 36.757,0 35.680,0 35.200 39.392 2.294,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.800 3 36.266,0 35.744,0 34.496 38.560 2.081,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.088 3 36.362,0 35.840,0 34.912 38.336 1.770,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.600 3 36.533,0 35.712,0 34.528 39.360 2.518,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 117.760 3 39.253,0 39.136,0 37.216 41.408 2.098,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 208.032 3 69.344,0 68.512,0 67.232 72.288 2.628,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 114.496 3 38.165,0 37.792,0 36.000 40.704 2.374,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.512 3 36.170,0 35.520,0 34.432 38.560 2.139,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 124.128 3 41.376,0 40.896,0 39.296 43.936 2.356,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.112 3 36.704,0 35.936,0 34.464 39.712 2.707,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.864 3 36.288,0 35.872,0 34.688 38.304 1.843,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.624 3 36.874,0 36.064,0 35.392 39.168 2.014,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.248 3 36.416,0 35.680,0 34.880 38.688 2.007,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.992 3 36.330,0 35.904,0 34.720 38.368 1.861,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.432 3 36.810,0 36.384,0 34.880 39.168 2.175,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 108.800 3 36.266,0 35.872,0 34.560 38.368 1.934,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 110.080 3 36.693,0 36.160,0 34.720 39.200 2.287,0 CUDA_KERNEL lud_perimeter(float *, int, int)
0,0 109.280 3 36.426,0 35.648,0 34.336 39.296 2.570,0 CUDA_KERNEL lud_perimeter(float *, int, int)
