0,0 249.504 4 62.376,0 60.992,0 60.928 66.592 2.811,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.024 4 34.256,0 33.200,0 32.768 37.856 2.434,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.232 4 32.808,0 32.160,0 31.168 35.744 2.012,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 147.360 4 36.840,0 35.856,0 35.008 40.640 2.566,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.264 4 32.816,0 32.080,0 31.168 35.936 2.125,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.792 4 32.448,0 31.648,0 31.136 35.360 1.990,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 132.320 4 33.080,0 31.936,0 31.616 36.832 2.516,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 128.704 4 32.176,0 31.200,0 31.168 35.136 1.973,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.904 4 32.976,0 32.128,0 31.552 36.096 2.097,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.216 4 32.304,0 31.472,0 31.232 35.040 1.833,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.496 4 32.624,0 31.856,0 31.168 35.616 2.020,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.344 4 32.336,0 31.360,0 31.168 35.456 2.082,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.240 4 32.560,0 31.952,0 31.168 35.168 1.779,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 140.384 4 35.096,0 33.904,0 33.760 38.816 2.481,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.560 4 32.640,0 31.584,0 31.168 36.224 2.421,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.072 4 32.768,0 32.080,0 31.200 35.712 2.006,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.464 4 32.616,0 32.000,0 31.232 35.232 1.786,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.272 4 32.568,0 31.584,0 31.136 35.968 2.301,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.520 4 32.880,0 32.064,0 31.840 35.552 1.785,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.368 4 32.592,0 32.096,0 31.168 35.008 1.670,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 145.184 4 36.296,0 35.296,0 34.624 39.968 2.491,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.848 4 32.712,0 31.760,0 31.264 36.064 2.260,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.704 4 34.176,0 33.232,0 32.992 37.248 2.060,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.960 4 34.240,0 33.360,0 32.768 37.472 2.186,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.976 4 32.744,0 31.728,0 31.520 36.000 2.172,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.656 4 32.664,0 32.080,0 31.168 35.328 1.829,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.264 4 32.816,0 32.048,0 31.136 36.032 2.186,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 145.504 4 36.376,0 35.408,0 34.464 40.224 2.603,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.920 4 34.480,0 33.568,0 32.800 37.984 2.366,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.464 4 32.616,0 31.792,0 31.168 35.712 2.102,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.816 4 32.704,0 31.904,0 31.168 35.840 2.125,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 142.752 4 35.688,0 34.544,0 34.368 39.296 2.406,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.400 4 32.600,0 31.968,0 31.200 35.264 1.814,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 143.328 4 35.832,0 34.672,0 34.432 39.552 2.488,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.032 4 34.008,0 32.848,0 32.704 37.632 2.417,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.784 4 32.696,0 31.904,0 31.136 35.840 2.128,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.808 4 32.952,0 31.760,0 31.616 36.672 2.482,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.128 4 34.032,0 32.816,0 32.800 37.696 2.442,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.344 4 32.336,0 31.392,0 31.168 35.392 2.040,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.240 4 32.560,0 31.504,0 31.200 36.032 2.327,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 144.000 4 36.000,0 35.072,0 34.720 39.136 2.116,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 143.232 4 35.808,0 34.704,0 34.656 39.168 2.240,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.688 4 32.672,0 32.064,0 31.200 35.360 1.837,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.144 4 32.536,0 31.648,0 31.360 35.488 1.973,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 144.320 4 36.080,0 34.896,0 34.432 40.096 2.697,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.320 4 34.080,0 32.736,0 32.672 38.176 2.731,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 147.776 4 36.944,0 35.664,0 35.616 40.832 2.592,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 128.800 4 32.200,0 31.280,0 31.136 35.104 1.939,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.672 4 34.168,0 32.848,0 32.736 38.240 2.715,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 256.512 4 64.128,0 62.944,0 62.336 68.288 2.800,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.424 4 32.856,0 32.144,0 31.136 36.000 2.150,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 135.488 4 33.872,0 32.816,0 32.704 37.152 2.187,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 255.104 4 63.776,0 62.384,0 62.336 68.000 2.816,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.400 4 32.600,0 31.568,0 31.200 36.064 2.320,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.600 4 32.400,0 31.488,0 31.136 35.488 2.066,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.592 4 32.648,0 31.712,0 31.168 36.000 2.249,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.248 4 34.312,0 33.056,0 32.768 38.368 2.708,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.632 4 32.408,0 31.280,0 31.168 35.904 2.332,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.008 4 32.752,0 31.792,0 31.168 36.256 2.367,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.056 4 32.264,0 31.296,0 31.168 35.296 2.023,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 145.376 4 36.344,0 35.328,0 34.752 39.968 2.471,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.104 4 32.776,0 32.048,0 31.168 35.840 2.084,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.440 4 32.360,0 31.488,0 31.360 35.104 1.833,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.568 4 32.392,0 31.616,0 31.200 35.136 1.840,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.144 4 32.536,0 31.936,0 31.168 35.104 1.754,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.096 4 34.024,0 32.976,0 32.832 37.312 2.194,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 131.264 4 32.816,0 32.096,0 31.136 35.936 2.128,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.128 4 34.032,0 32.944,0 32.704 37.536 2.341,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.888 4 32.472,0 31.584,0 31.136 35.584 2.108,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.368 4 32.592,0 31.792,0 31.200 35.584 2.036,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.672 4 34.168,0 32.784,0 32.672 38.432 2.843,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 136.288 4 34.072,0 33.168,0 32.768 37.184 2.101,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 132.288 4 33.072,0 32.256,0 31.712 36.064 2.017,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.824 4 32.456,0 31.232,0 31.168 36.192 2.491,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 141.952 4 35.488,0 34.400,0 33.920 39.232 2.507,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 137.216 4 34.304,0 32.896,0 32.800 38.624 2.880,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.248 4 32.312,0 31.504,0 31.136 35.104 1.869,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.272 4 32.568,0 31.808,0 31.168 35.488 1.972,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.048 4 32.512,0 31.440,0 31.200 35.968 2.307,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 129.888 4 32.472,0 31.696,0 31.232 35.264 1.894,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 130.560 4 32.640,0 32.096,0 31.232 35.136 1.713,0 CUDA_KERNEL lud_diagonal(float *, int, int)
0,0 138.720 4 34.680,0 33.536,0 33.152 38.496 2.563,0 CUDA_KERNEL lud_diagonal(float *, int, int)
