      1,0        2.443.424          1   2.443.424,0  2.443.424,0  2.443.424    2.443.424           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          477.824          1     477.824,0    477.824,0    477.824      477.824           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.921.664          1   2.921.664,0  2.921.664,0  2.921.664    2.921.664           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          516.064          1     516.064,0    516.064,0    516.064      516.064           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.978.560          1   1.978.560,0  1.978.560,0  1.978.560    1.978.560           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          395.424          1     395.424,0    395.424,0    395.424      395.424           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.974.080          1   1.974.080,0  1.974.080,0  1.974.080    1.974.080           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          387.872          1     387.872,0    387.872,0    387.872      387.872           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.352.256          1   2.352.256,0  2.352.256,0  2.352.256    2.352.256           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          455.648          1     455.648,0    455.648,0    455.648      455.648           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.984.096          1   1.984.096,0  1.984.096,0  1.984.096    1.984.096           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          396.672          1     396.672,0    396.672,0    396.672      396.672           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.970.272          1   1.970.272,0  1.970.272,0  1.970.272    1.970.272           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          414.240          1     414.240,0    414.240,0    414.240      414.240           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.973.344          1   1.973.344,0  1.973.344,0  1.973.344    1.973.344           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          390.496          1     390.496,0    390.496,0    390.496      390.496           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.468.928          1   2.468.928,0  2.468.928,0  2.468.928    2.468.928           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          693.824          1     693.824,0    693.824,0    693.824      693.824           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.968.800          1   1.968.800,0  1.968.800,0  1.968.800    1.968.800           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          396.768          1     396.768,0    396.768,0    396.768      396.768           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.971.296          1   2.971.296,0  2.971.296,0  2.971.296    2.971.296            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          412.192          1     412.192,0    412.192,0    412.192      412.192            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
