     41,0       39.276.160        100     392.761,0     310.272,0     304.384   1.960.544    297.837,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     44,0       73.574.048        100     735.740,0     731.632,0     694.752     789.664     17.592,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       78.084.992        100     780.849,0     781.456,0     722.304     844.960     29.098,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     40,0       32.214.560        100     322.145,0     318.896,0     315.808     414.496     11.730,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       31.193.792        100     311.937,0     311.472,0     308.544     375.936      6.608,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     36,0       45.976.032        100     459.760,0     393.792,0     355.520   2.829.088    381.949,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       31.084.416        100     310.844,0     310.320,0     308.512     365.824      5.651,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       42.054.112        100     420.541,0     342.560,0     316.864   2.430.080    366.604,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       31.111.872        100     311.118,0     309.872,0     307.616     357.216      5.140,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     40,0       34.477.728        100     344.777,0     343.296,0     339.776     417.376      8.117,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     37,0       79.099.072        100     790.990,0     733.968,0     317.056   4.448.960    807.618,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       33.805.056        100     338.050,0     340.048,0     318.016     410.720     10.029,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     37,0       33.835.936        100     338.359,0     319.456,0     315.840     396.736     31.974,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     38,0       41.583.072        100     415.830,0     337.168,0     315.776   2.114.784    341.392,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     39,0       74.525.184        100     745.251,0     361.184,0     346.720   2.932.640    613.438,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       69.194.176        100     691.941,0     720.080,0     358.592     777.600    106.548,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     45,0       78.165.024        100     781.650,0     757.600,0     736.640   2.849.408    209.243,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     40,0       60.762.496        100     607.625,0     709.216,0     355.968     762.176    163.934,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       50.443.008        100     504.430,0     394.976,0     357.376   2.572.000    443.475,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     39,0       38.968.064        100     389.680,0     319.840,0     315.104   2.046.720    293.829,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     43,0       93.815.616        100     938.156,0     791.616,0     736.288   2.835.808    449.820,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       39.673.056        100     396.730,0     393.872,0     316.032   3.289.280    294.430,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       67.766.944        100     677.669,0     717.792,0     357.984     756.128    118.409,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     37,0       74.406.304        100     744.063,0     759.936,0     393.376   4.025.600    588.489,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     37,0       39.641.600        100     396.416,0     395.840,0     393.728     454.208      5.933,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     39,0       38.371.648        100     383.716,0     393.616,0     353.952     444.896     17.434,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     36,0       39.560.896        100     395.609,0     395.040,0     392.992     445.440      5.111,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       99.447.296        100      994.473,0      768.480,0      717.248    2.884.960    516.341,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     41,0       36.362.240        100     363.622,0     310.800,0     305.280   2.089.184    273.222,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     42,0       39.040.896        100     390.409,0     394.784,0     318.368   2.128.288    178.688,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
     40,0       59.388.960        100     593.889,0     397.616,0     390.368   2.165.536    388.952,0  CUDA_KERNEL  hotspotOpt1(float *, float *, float *, float, int, int, int, float, float, float, float, float, flo…
