     36,0      838.919.072      3.900  215.107,0  180.480,0   173.152     417.888     57.730,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      965.179.520      3.900  247.481,0  237.584,0   173.248    422.240     61.895,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      828.262.080      3.900  212.374,0  179.744,0   172.832    422.176     61.992,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     37,0      842.175.392      3.900  215.942,0  190.880,0   173.248    414.688     50.613,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     18,0      709.739.776      3.900  181.984,0  180.000,0   173.376    221.632      5.785,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     24,0      858.806.624      3.900  220.206,0  208.224,0   176.096    418.848     45.298,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     13,0      711.333.856      3.900  182.393,0  180.160,0   176.512    223.936      5.687,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     41,0      980.651.104      3.900  251.449,0  238.672,0   182.720    416.128     49.572,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     24,0      721.277.696      3.900  184.943,0  180.128,0   172.960    240.032     12.949,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      807.068.480      3.900  206.940,0  210.528,0   177.984    240.480     13.091,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      946.434.336      3.900  242.675,0  218.528,0   205.184    414.752     45.415,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     37,0      699.479.904      3.900  179.353,0  177.088,0   173.120    218.848      5.593,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     30,0      809.764.576      3.900    207.631,0    180.928,0    173.984    405.632     58.322,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     42,0      980.886.848      3.900  251.509,0  260.320,0   172.896    415.968     55.350,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      710.143.744      3.900  182.088,0  177.152,0   172.928     261.696     11.923,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     40,0      937.046.976      3.900  240.268,0  217.392,0   173.056     420.768     53.132,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34,0      836.945.056      3.900  214.601,0  180.960,0   173.120    419.424     58.404,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     14,0      814.701.472      3.900  208.897,0  212.640,0   180.128    244.608     14.176,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     22,0      780.006.400      3.900  200.001,0  181.248,0   175.232    416.672     51.934,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     39,0      699.110.912      3.900  179.259,0  177.120,0   172.992    223.904      5.547,0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
