2,0 7.388.064 2 3.694.032,0 3.694.032,0 1.859.104 5.528.960 2.594.980,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.332.832 2 4.666.416,0 4.666.416,0 1.859.200 7.473.632 3.970.002,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.379.840 2 3.689.920,0 3.689.920,0 1.869.376 5.510.464 2.574.638,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.312.800 2 4.656.400,0 4.656.400,0 1.854.912 7.457.888 3.961.902,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.332.608 2 4.666.304,0 4.666.304,0 1.863.360 7.469.248 3.963.961,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.342.816 2 4.671.408,0 4.671.408,0 1.855.840 7.486.976 3.981.814,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.294.944 2 4.647.472,0 4.647.472,0 1.848.256 7.446.688 3.958.689,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.399.680 2 3.699.840,0 3.699.840,0 1.867.648 5.532.032 2.591.110,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.338.816 2 4.669.408,0 4.669.408,0 1.868.064 7.470.752 3.961.698,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.301.088 2 4.650.544,0 4.650.544,0 1.851.232 7.449.856 3.958.825,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.333.664 2 4.666.832,0 4.666.832,0 1.866.400 7.467.264 3.960.408,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.306.688 2 4.653.344,0 4.653.344,0 1.870.112 7.436.576 3.936.084,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.323.424 2 4.661.712,0 4.661.712,0 1.863.328 7.460.096 3.957.512,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.366.720 2 3.683.360,0 3.683.360,0 1.851.072 5.515.648 2.591.246,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.241.344 2 4.620.672,0 4.620.672,0 1.857.824 7.383.520 3.907.257,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.335.520 2 4.667.760,0 4.667.760,0 1.856.128 7.479.392 3.976.248,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.341.312 2 4.670.656,0 4.670.656,0 1.855.104 7.486.208 3.981.791,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.224.096 2 4.612.048,0 4.612.048,0 1.853.600 7.370.496 3.901.034,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.327.776 2 4.663.888,0 4.663.888,0 1.867.168 7.460.608 3.955.159,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.315.552 2 4.657.776,0 4.657.776,0 1.861.024 7.454.528 3.955.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.401.824 2 3.700.912,0 3.700.912,0 1.867.104 5.534.720 2.593.396,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.382.592 2 3.691.296,0 3.691.296,0 1.864.896 5.517.696 2.582.919,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.336.928 2 4.668.464,0 4.668.464,0 1.853.536 7.483.392 3.980.909,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.406.560 2 3.703.280,0 3.703.280,0 1.870.272 5.536.288 2.592.264,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.303.296 2 4.651.648,0 4.651.648,0 1.860.768 7.442.528 3.946.900,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.325.344 2 4.662.672,0 4.662.672,0 1.854.368 7.470.976 3.971.541,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 9.312.864 2 4.656.432,0 4.656.432,0 1.859.264 7.453.600 3.955.792,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 7.370.624 2 3.685.312,0 3.685.312,0 1.853.504 5.517.120 2.590.567,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
