2,0 5.507.584 100 55.075,0 54.336,0 53.536 65.504 2.003,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 5.263.648 100 52.636,0 52.576,0 51.232 58.016 720,0 CUDA_KERNEL prepare(long, float *, float *, float *)
5,0 10.377.088 100 103.770,0 103.392,0 100.736 108.864 1.573,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.300.224 100 53.002,0 52.656,0 51.456 59.328 1.081,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 5.198.304 100 51.983,0 51.936,0 50.816 57.600 718,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.518.240 100 75.182,0 60.224,0 53.312 112.416 24.189,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.109.024 100 81.090,0 60.944,0 53.376 114.720 25.130,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.711.136 100 87.111,0 105.424,0 55.712 112.864 23.420,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.248.992 100 52.489,0 52.448,0 51.360 57.952 702,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 5.289.856 100 52.898,0 52.816,0 51.776 57.824 743,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.947.456 100 59.474,0 54.800,0 53.184 73.312 5.828,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.330.112 100 53.301,0 53.280,0 51.744 58.080 714,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.271.552 100 52.715,0 52.592,0 51.296 58.400 875,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.289.952 100 52.899,0 52.832,0 51.360 58.432 752,0 CUDA_KERNEL prepare(long, float *, float *, float *)
5,0 10.411.296 100 104.113,0 103.904,0 101.856 108.000 1.289,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.238.592 100 52.385,0 52.256,0 51.392 59.040 815,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.045.088 100 70.450,0 55.936,0 53.792 117.664 24.273,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.530.848 100 75.308,0 66.016,0 53.984 158.208 25.072,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.277.696 100 52.777,0 52.704,0 51.552 57.600 692,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.640.512 100 56.405,0 54.848,0 53.664 67.264 2.972,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.607.872 100 56.078,0 55.136,0 53.184 67.456 2.633,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 5.280.992 100 52.809,0 52.704,0 51.584 58.592 754,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.302.336 100 53.023,0 52.880,0 51.744 59.264 907,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.308.480 100 53.084,0 52.832,0 51.712 58.976 1.033,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.890.592 100 58.905,0 59.904,0 53.664 61.920 2.407,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.322.336 100 83.223,0 61.424,0 53.472 114.688 25.005,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.112.128 100 91.121,0 106.112,0 56.000 113.504 22.695,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.312.832 100 83.128,0 61.152,0 57.408 114.976 24.665,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 10.130.176 100 101.301,0 111.472,0 59.936 118.816 20.322,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 9.088.000 100 90.880,0 109.952,0 56.416 122.272 26.116,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.460.992 100 84.609,0 61.824,0 56.800 118.848 25.858,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.280.224 100 82.802,0 61.184,0 53.728 120.576 27.381,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.932.960 100 89.329,0 109.504,0 54.528 121.824 26.629,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.265.184 100 52.651,0 52.576,0 51.520 58.880 790,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.451.872 100 54.518,0 54.624,0 52.256 61.248 1.173,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.474.848 100 94.748,0 108.000,0 59.392 118.560 22.908,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.275.648 100 52.756,0 52.688,0 51.680 57.408 655,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.493.856 100 74.938,0 60.368,0 53.408 113.088 24.641,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.120.448 100 81.204,0 61.088,0 53.024 117.952 27.756,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.196.736 100 81.967,0 61.344,0 53.376 122.176 26.564,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.318.880 100 53.188,0 53.104,0 52.096 57.920 739,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 7.934.496 100 79.345,0 60.064,0 54.560 118.144 26.015,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.302.464 100 93.024,0 110.704,0 55.424 120.064 25.276,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.296.672 100 82.966,0 61.680,0 53.952 116.768 26.835,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 9.552.128 100 95.521,0 109.600,0 57.024 123.072 23.105,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.626.496 100 56.265,0 55.728,0 53.472 64.512 1.858,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 9.576.800 100 95.768,0 110.896,0 62.144 116.064 21.543,0 CUDA_KERNEL prepare(long, float *, float *, float *)
4,0 9.814.016 100 98.140,0 110.432,0 58.720 116.608 22.318,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.053.824 100 90.538,0 109.840,0 55.840 119.712 25.975,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.280.992 100 92.809,0 111.184,0 56.320 117.600 25.315,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.439.552 100 94.395,0 110.912,0 56.128 116.640 24.936,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.298.208 100 52.982,0 52.928,0 51.712 58.016 691,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.278.240 100 52.782,0 52.768,0 51.200 58.240 740,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.707.616 100 57.076,0 57.920,0 53.184 63.968 2.044,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.305.472 100 53.054,0 52.944,0 51.872 58.272 744,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.881.344 100 98.813,0 111.968,0 60.000 120.128 23.494,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 9.119.264 100 91.192,0 109.184,0 59.616 114.720 24.737,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.730.400 100 57.304,0 55.360,0 54.112 68.480 2.931,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.253.632 100 52.536,0 52.448,0 51.072 57.760 704,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.322.464 100 83.224,0 61.472,0 54.240 117.728 26.574,0 CUDA_KERNEL prepare(long, float *, float *, float *)
4,0 10.242.336 100 102.423,0 110.704,0 65.472 118.848 18.462,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.278.656 100 82.786,0 61.744,0 53.632 122.144 28.047,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.272.832 100 52.728,0 52.704,0 51.456 57.888 733,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.313.280 100 53.132,0 53.120,0 51.872 58.624 721,0 CUDA_KERNEL prepare(long, float *, float *, float *)
5,0 11.194.752 100 111.947,0 111.824,0 107.712 118.784 2.337,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.250.976 100 52.509,0 52.480,0 51.456 58.336 726,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.284.032 100 52.840,0 52.816,0 51.616 58.432 736,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.146.272 100 81.462,0 61.008,0 53.632 119.968 26.934,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.853.056 100 58.530,0 55.088,0 52.512 72.928 5.596,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.235.008 100 52.350,0 52.256,0 51.168 57.472 707,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.909.600 100 59.096,0 54.592,0 52.768 73.152 5.812,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.733.664 100 77.336,0 60.960,0 53.536 120.096 27.235,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.729.824 100 87.298,0 107.392,0 59.872 117.216 25.102,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.176.768 100 81.767,0 61.472,0 54.048 120.832 27.490,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 8.504.096 100 85.041,0 61.984,0 53.632 119.328 26.937,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 7.472.384 100 74.723,0 65.472,0 53.568 118.912 24.903,0 CUDA_KERNEL prepare(long, float *, float *, float *)
3,0 8.001.536 100 80.015,0 61.312,0 53.056 117.248 24.926,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.304.480 100 53.044,0 52.992,0 51.712 58.528 755,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.280.192 100 52.801,0 52.704,0 51.744 59.200 809,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.311.360 100 53.113,0 53.104,0 51.872 58.048 704,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 5.305.792 100 53.057,0 53.088,0 51.968 57.760 698,0 CUDA_KERNEL prepare(long, float *, float *, float *)
5,0 10.963.392 100 109.633,0 109.504,0 104.928 116.032 1.935,0 CUDA_KERNEL prepare(long, float *, float *, float *)
5,0 10.942.720 100 109.427,0 108.832,0 104.640 116.128 2.255,0 CUDA_KERNEL prepare(long, float *, float *, float *)
4,0 10.896.768 100 108.967,0 108.608,0 105.472 117.248 1.928,0 CUDA_KERNEL prepare(long, float *, float *, float *)
