30,0 991.384.928 1.023 969.095,0 848.192,0 786.048 2.125.536 304.782,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.113.469.280 1.023 1.088.435,0 1.027.008,0 785.920 1.993.312 297.242,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.593.079.744 1.023 1.557.262,0 1.659.008,0 1.174.080 2.128.352 343.358,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 993.249.536 1.023 970.918,0 845.856,0 785.504 2.112.928 304.982,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.098.624.096 1.023 1.073.923,0 845.440,0 783.104 2.085.152 401.854,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.001.822.176 1.023 979.298,0 846.752,0 786.304 2.081.184 307.388,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.037.250.208 1.023 1.013.929,0 847.744,0 783.872 2.127.040 365.482,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
34,0 1.229.487.584 1.023 1.201.845,0 1.027.648,0 944.992 2.061.056 341.158,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
29,0 1.278.093.120 1.023 1.249.357,0 1.003.040,0 784.544 2.116.064 493.732,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.088.496.704 1.023 1.064.024,0 845.024,0 783.808 2.141.056 404.239,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
27,0 999.679.168 1.023 977.203,0 856.704,0 795.072 2.112.736 299.073,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
33,0 1.046.854.528 1.023 1.023.318,0 846.304,0 783.552 2.105.760 350.353,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
30,0 1.161.505.056 1.023 1.135.391,0 1.089.184,0 786.432 2.069.632 368.626,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
31,0 1.787.581.824 1.023 1.747.391,0 1.669.120,0 1.312.160 2.126.272 162.715,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
32,0 1.247.388.576 1.023 1.219.343,0 1.026.656,0 951.776 2.068.992 361.161,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
