0,0 173.533.728 2.000 86.766,0 82.048,0 80.768 203.872 17.018,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 172.057.984 2.000 86.029,0 81.568,0 80.416 203.072 13.754,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.758.752 2.000 84.879,0 80.864,0 79.360 204.384 10.407,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.510.496 2.000 82.755,0 80.448,0 79.616 1.061.024 24.806,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.408.224 2.000 83.704,0 80.640,0 79.616 204.704 13.797,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.977.920 2.000 83.489,0 81.664,0 80.768 205.440 11.032,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.758.528 2.000 83.379,0 80.768,0 79.744 206.496 14.404,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 182.998.048 2.000 91.499,0 87.264,0 79.616 201.408 17.223,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.530.944 2.000 83.265,0 80.544,0 79.328 204.672 12.917,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.902.336 2.000 83.951,0 82.144,0 81.056 207.072 11.671,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.132.256 2.000 85.066,0 81.536,0 80.416 205.568 13.662,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.196.000 2.000 83.598,0 81.632,0 80.320 205.856 11.415,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.117.408 2.000 85.058,0 80.800,0 79.424 207.072 10.429,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.045.312 2.000 84.522,0 80.960,0 79.392 203.968 12.688,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.038.464 2.000 83.019,0 81.536,0 80.512 205.312 10.156,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.743.200 2.000 84.871,0 81.600,0 80.448 206.624 9.941,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.048.192 2.000 83.524,0 80.896,0 79.648 205.600 12.248,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.456.160 2.000 82.728,0 80.800,0 79.552 204.416 11.157,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.048.448 2.000 84.024,0 81.408,0 80.448 202.944 12.598,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.042.240 2.000 83.521,0 80.672,0 79.296 203.264 14.194,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.847.328 2.000 83.423,0 81.632,0 80.672 206.592 11.421,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.677.888 2.000 83.338,0 81.056,0 79.680 206.752 12.235,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 164.839.488 2.000 82.419,0 80.448,0 79.616 202.048 12.926,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.527.296 2.000 83.763,0 80.864,0 79.840 205.472 10.521,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 173.249.344 2.000 86.624,0 82.448,0 80.640 207.872 10.931,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.307.712 2.000 83.653,0 80.896,0 79.936 204.416 13.251,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.601.696 2.000 84.800,0 82.272,0 81.216 207.200 14.491,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 175.104.416 2.000 87.552,0 83.328,0 81.344 207.200 10.838,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.633.056 2.000 84.316,0 80.480,0 79.328 202.240 14.242,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 173.178.080 2.000 86.589,0 80.096,0 78.912 199.680 21.139,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 174.799.456 2.000 87.399,0 81.792,0 80.448 205.536 15.433,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.128.160 2.000 84.064,0 81.376,0 80.096 207.744 10.999,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.655.040 2.000 84.827,0 80.832,0 79.616 203.744 17.859,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.488.224 2.000 84.244,0 80.544,0 79.392 205.216 17.052,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.370.048 2.000 83.685,0 80.928,0 80.064 205.344 13.305,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.199.616 2.000 83.099,0 80.928,0 79.648 207.104 11.542,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 179.715.392 2.000 89.857,0 89.920,0 80.160 208.992 10.304,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.658.432 2.000 84.829,0 80.896,0 79.328 201.024 12.046,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.535.392 2.000 83.767,0 81.344,0 80.384 204.832 11.360,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 173.209.120 2.000 86.604,0 81.280,0 79.552 204.768 14.532,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.499.712 2.000 85.249,0 80.608,0 79.392 203.520 14.278,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.225.952 2.000 84.113,0 80.640,0 79.488 201.760 12.707,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 173.765.152 2.000 86.882,0 81.920,0 80.480 218.112 12.962,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 171.033.952 2.000 85.517,0 81.088,0 79.360 204.480 11.017,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 184.556.352 2.000 92.278,0 88.736,0 80.128 204.928 16.615,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.213.664 2.000 83.106,0 80.384,0 79.232 201.568 10.366,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.024.128 2.000 82.512,0 80.736,0 79.776 208.864 11.510,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.859.232 2.000 83.929,0 80.672,0 79.616 202.272 14.738,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 171.550.624 2.000 85.775,0 81.024,0 79.680 204.320 12.784,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.845.504 2.000 83.422,0 80.608,0 79.360 203.264 13.508,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 172.647.072 2.000 86.323,0 82.944,0 79.840 204.608 10.944,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.491.232 2.000 83.245,0 81.568,0 80.544 204.256 11.015,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.458.016 2.000 83.729,0 80.896,0 79.296 205.184 10.296,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 164.904.608 2.000 82.452,0 80.608,0 79.360 172.864 9.971,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.378.560 2.000 82.689,0 80.512,0 79.360 205.056 11.485,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 173.394.400 2.000 86.697,0 86.880,0 79.200 202.432 13.922,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 185.170.400 2.000 92.585,0 88.992,0 87.744 206.400 16.543,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.513.824 2.000 82.756,0 81.184,0 80.288 204.032 10.326,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.526.656 2.000 82.763,0 80.672,0 79.552 203.776 12.771,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.148.512 2.000 83.574,0 81.216,0 80.288 205.344 13.823,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.131.840 2.000 84.065,0 81.024,0 80.160 201.440 10.901,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.311.136 2.000 83.155,0 80.576,0 79.488 204.832 10.287,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.588.288 2.000 84.794,0 81.344,0 79.904 204.960 13.835,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 173.517.728 2.000 86.758,0 88.576,0 80.416 203.392 10.778,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.124.448 2.000 85.062,0 81.536,0 80.576 207.296 15.346,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.414.624 2.000 82.707,0 80.160,0 79.168 205.440 10.315,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.734.144 2.000 82.867,0 80.992,0 79.936 205.280 11.094,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 170.901.376 2.000 85.450,0 86.816,0 79.456 203.104 10.720,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
