0,0 73.728 2 36.864,0 36.864,0 34.112 39.616 3.891,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.984 2 20.992,0 20.992,0 17.920 24.064 4.344,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.464 2 21.232,0 21.232,0 18.656 23.808 3.643,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.816 2 21.408,0 21.408,0 18.592 24.224 3.982,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 78.944 2 39.472,0 39.472,0 35.584 43.360 5.498,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.920 2 20.960,0 20.960,0 17.760 24.160 4.525,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.264 2 21.632,0 21.632,0 18.720 24.544 4.118,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.944 2 21.472,0 21.472,0 18.336 24.608 4.435,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.752 2 21.376,0 21.376,0 18.528 24.224 4.027,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 78.880 2 39.440,0 39.440,0 35.648 43.232 5.362,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.144 2 21.072,0 21.072,0 17.920 24.224 4.457,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.072 2 21.536,0 21.536,0 18.624 24.448 4.118,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 52.192 2 26.096,0 26.096,0 22.208 29.984 5.498,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 73.472 2 36.736,0 36.736,0 33.408 40.064 4.706,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.712 2 21.856,0 21.856,0 18.656 25.056 4.525,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.568 2 20.784,0 20.784,0 17.728 23.840 4.321,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.976 2 21.488,0 21.488,0 18.080 24.896 4.819,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.752 2 21.376,0 21.376,0 18.400 24.352 4.208,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 43.456 2 21.728,0 21.728,0 18.112 25.344 5.113,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 73.376 2 36.688,0 36.688,0 33.184 40.192 4.955,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.952 2 20.976,0 20.976,0 17.952 24.000 4.276,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 41.440 2 20.720,0 20.720,0 17.664 23.776 4.321,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.240 2 21.120,0 21.120,0 18.048 24.192 4.344,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
0,0 42.784 2 21.392,0 21.392,0 18.144 24.640 4.593,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
