7,0 257.024 4 64.256,0 62.400,0 62.144 70.080 3.884,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.416 4 64.104,0 62.176,0 62.016 70.048 3.963,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.096 4 64.024,0 62.176,0 62.016 69.728 3.804,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.512 4 37.128,0 35.328,0 34.400 43.456 4.241,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.872 4 34.968,0 33.312,0 32.672 40.576 3.751,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.464 4 36.616,0 34.496,0 34.336 43.136 4.348,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.424 4 36.856,0 34.896,0 34.336 43.296 4.318,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 145.632 4 36.408,0 34.304,0 34.016 43.008 4.407,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.176 4 34.544,0 32.672,0 32.224 40.608 4.062,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.824 4 34.456,0 32.864,0 32.352 39.744 3.541,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 145.792 4 36.448,0 34.688,0 34.240 42.176 3.830,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 145.056 4 36.264,0 34.288,0 33.920 42.560 4.201,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 152.160 4 38.040,0 35.984,0 35.744 44.448 4.275,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.560 4 34.640,0 32.896,0 32.704 40.064 3.617,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.808 4 36.952,0 34.736,0 34.368 43.968 4.690,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 145.920 4 36.480,0 34.352,0 33.952 43.264 4.538,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.888 4 34.472,0 32.752,0 32.576 39.808 3.558,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.352 4 64.088,0 62.208,0 62.016 69.920 3.889,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.224 4 37.056,0 35.040,0 34.560 43.584 4.369,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 145.248 4 36.312,0 34.256,0 33.984 42.752 4.298,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.944 4 34.736,0 33.200,0 32.640 39.904 3.456,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 258.464 4 64.616,0 63.120,0 62.240 69.984 3.611,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 138.560 4 34.640,0 32.896,0 32.256 40.512 3.936,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 153.856 4 38.464,0 36.480,0 36.064 44.832 4.251,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 257.728 4 64.432,0 62.560,0 62.144 70.464 4.034,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.408 4 64.352,0 62.608,0 62.016 70.176 3.904,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 136.576 4 34.144,0 32.336,0 32.192 39.712 3.713,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 146.944 4 36.736,0 34.480,0 34.368 43.616 4.587,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 147.648 4 36.912,0 35.056,0 34.464 43.072 4.136,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 265.408 4 66.352,0 64.048,0 63.520 73.792 4.978,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 256.640 4 64.160,0 62.320,0 62.080 69.920 3.841,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.352 4 64.088,0 62.096,0 62.048 70.112 4.016,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.256 4 37.064,0 35.200,0 34.400 43.456 4.280,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 139.456 4 34.864,0 33.392,0 32.704 39.968 3.418,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.344 4 64.336,0 62.592,0 62.176 69.984 3.781,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 137.856 4 34.464,0 32.720,0 32.320 40.096 3.760,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 140.512 4 35.128,0 33.488,0 33.216 40.320 3.463,0 CUDA_KERNEL lud_diagonal(float *, int, int)
8,0 256.960 4 64.240,0 62.224,0 61.984 70.528 4.196,0 CUDA_KERNEL lud_diagonal(float *, int, int)
7,0 257.664 4 64.416,0 62.384,0 62.272 70.624 4.139,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 148.224 4 37.056,0 35.136,0 34.944 43.008 3.971,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 146.912 4 36.728,0 34.608,0 34.368 43.328 4.404,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 138.272 4 34.568,0 33.168,0 32.544 39.392 3.230,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.288 4 37.072,0 35.280,0 34.528 43.200 4.102,0 CUDA_KERNEL lud_diagonal(float *, int, int)
5,0 148.256 4 37.064,0 35.344,0 34.432 43.136 4.070,0 CUDA_KERNEL lud_diagonal(float *, int, int)
4,0 147.616 4 36.904,0 35.232,0 34.368 42.784 3.941,0 CUDA_KERNEL lud_diagonal(float *, int, int)
