      0,0           29.280          3      9.760,0      9.632,0      7.872     11.776      1.955,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          138.880          4     34.720,0     32.992,0     32.544     40.352      3.761,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          116.224          3     38.741,0     37.664,0     36.448     42.112      2.981,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.360          3      7.786,0      7.840,0      6.560      8.960      1.200,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          256.576          4     64.144,0     62.256,0     62.208     69.856      3.808,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.584          3     71.861,0     71.072,0     69.696     74.816      2.649,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.920          3      9.973,0      9.184,0      9.088     11.648      1.451,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          147.392          4     36.848,0     34.992,0     34.336     43.072      4.173,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          126.496          3     42.165,0     40.896,0     40.512     45.088      2.538,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.792          3      9.930,0     10.176,0      7.936     11.680      1.884,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          257.632          4     64.408,0     62.864,0     62.400     69.504      3.404,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.328          3     71.776,0     70.240,0     70.208     74.880      2.688,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           31.232          3     10.410,0     10.112,0      9.184     11.936      1.400,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          256.608          4     64.152,0     62.288,0     62.112     69.920      3.846,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.416          3     72.138,0     70.944,0     69.664     75.808      3.241,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           31.200          3     10.400,0     10.400,0      9.152     11.648      1.248,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          149.408          4     37.352,0     35.616,0     34.752     43.424      4.068,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          126.368          3     42.122,0     40.576,0     40.448     45.344      2.790,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.472          3      9.824,0      9.632,0      8.160     11.680      1.767,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          139.808          4     34.952,0     33.248,0     32.928     40.384      3.627,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.408          3     39.136,0     38.304,0     36.800     42.304      2.844,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.040          3      7.680,0      7.808,0      5.824      9.408      1.795,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          139.232          4     34.808,0     33.264,0     32.448     40.256      3.653,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.728          3     39.242,0     38.368,0     37.120     42.240      2.669,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.000          3      8.000,0      7.808,0      6.752      9.440      1.354,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          257.184          4     64.296,0     62.288,0     61.952     70.656      4.243,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.616          3     71.872,0     71.072,0     69.824     74.720      2.544,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.696          3      9.898,0      9.248,0      8.800     11.648      1.531,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          137.600          4     34.400,0     33.056,0     32.224     39.264      3.266,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.792          3     39.264,0     38.432,0     37.152     42.208      2.628,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.128          3      8.042,0      7.968,0      6.752      9.408      1.329,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          256.960          4     64.240,0     62.416,0     62.112     70.016      3.853,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.616          3     71.872,0     71.104,0     69.664     74.848      2.676,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.688          3     10.229,0      9.344,0      9.216     12.128      1.645,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          137.888          4     34.472,0     32.640,0     32.608     40.000      3.685,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.376          3     39.125,0     37.888,0     37.184     42.304      2.775,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           25.152          3      8.384,0      7.712,0      6.880     10.560      1.929,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          148.064          4     37.016,0     35.296,0     34.720     42.752      3.834,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          124.096          3     41.365,0     40.640,0     39.264     44.192      2.542,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.976          3     10.325,0     11.168,0      8.192     11.616      1.861,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          138.944          4     34.736,0     32.768,0     32.672     40.736      4.001,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.760          3     39.253,0     37.952,0     37.664     42.144      2.507,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.544          3      8.181,0      7.936,0      6.368     10.240      1.947,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          138.080          4     34.520,0     32.928,0     32.256     39.968      3.666,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.184          3     39.061,0     38.208,0     37.184     41.792      2.419,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.320          3      8.106,0      8.000,0      6.784      9.536      1.379,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.792          4     64.448,0     62.464,0     62.112     70.752      4.205,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          216.352          3     72.117,0     70.560,0     70.208     75.584      3.007,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.912          3     10.304,0     10.336,0      8.288     12.288      2.000,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          139.232          4     34.808,0     32.928,0     32.640     40.736      3.954,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          119.328          3     39.776,0     38.976,0     37.600     42.752      2.667,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.296          3      7.765,0      7.744,0      6.560      8.992      1.216,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          138.208          4     34.552,0     33.184,0     32.224     39.616      3.406,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.024          3     39.008,0     38.400,0     37.152     41.472      2.223,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.840          3      7.946,0      8.128,0      6.624      9.088      1.242,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          257.024          4     64.256,0     62.144,0     62.048     70.688      4.289,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.680          3     71.893,0     71.136,0     69.728     74.816      2.627,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.624          3     10.208,0     10.528,0      8.160     11.936      1.908,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          257.088          4     64.272,0     62.240,0     62.016     70.592      4.215,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.584          3     71.861,0     71.008,0     69.856     74.720      2.541,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           31.904          3     10.634,0     10.528,0      9.184     12.192      1.506,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          146.752          4     36.688,0     34.528,0     34.304     43.392      4.474,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          124.960          3     41.653,0     40.832,0     39.008     45.120      3.137,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.312          3      9.770,0      9.440,0      8.064     11.808      1.893,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          146.272          4     36.568,0     34.640,0     33.984     43.008      4.311,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          124.640          3     41.546,0     40.096,0     39.168     45.376      3.348,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.928          3      9.642,0      9.632,0      7.936     11.360      1.712,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          137.216          4     34.304,0     32.400,0     32.288     40.128      3.883,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          116.704          3     38.901,0     37.664,0     36.832     42.208      2.893,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.096          3      8.032,0      7.840,0      6.848      9.408      1.290,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          152.544          4     38.136,0     35.968,0     35.872     44.736      4.400,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          130.080          3     43.360,0     41.728,0     41.664     46.688      2.882,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           29.152          3      9.717,0      9.568,0      8.032     11.552      1.764,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          146.048          4     36.512,0     34.416,0     34.016     43.200      4.467,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          123.776          3     41.258,0     40.416,0     38.496     44.864      3.266,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           28.832          3      9.610,0      9.504,0      7.936     11.392      1.730,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          138.144          4     34.536,0     32.768,0     32.192     40.416      3.948,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.632          3     39.210,0     38.304,0     37.120     42.208      2.662,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.128          3      8.042,0      7.936,0      6.656      9.536      1.443,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0          138.720          4     34.680,0     33.056,0     32.224     40.384      3.825,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          116.704          3     38.901,0     38.208,0     36.416     42.080      2.895,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.096          3      8.032,0      7.968,0      6.848      9.280      1.217,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          137.696          4     34.424,0     32.624,0     32.512     39.936      3.675,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.760          3     39.253,0     38.080,0     37.216     42.464      2.813,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           24.960          3      8.320,0      7.936,0      6.624     10.400      1.917,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          140.672          4     35.168,0     33.296,0     33.088     40.992      3.885,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          119.008          3     39.669,0     38.528,0     37.184     43.296      3.211,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           23.840          3      7.946,0      7.872,0      6.752      9.216      1.233,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      5,0          137.440          4     34.360,0     32.752,0     32.224     39.712      3.594,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      4,0          117.088          3     39.029,0     38.400,0     37.024     41.664      2.383,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
