0,0 23.904 3 7.968,0 7.648,0 6.720 9.536 1.435,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.408 3 9.802,0 9.408,0 8.192 11.808 1.840,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.312 3 9.770,0 9.920,0 8.000 11.392 1.700,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.528 3 10.176,0 9.600,0 8.128 12.800 2.388,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.992 3 9.664,0 9.600,0 8.032 11.360 1.664,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.136 3 10.378,0 10.496,0 8.960 11.680 1.363,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.400 3 10.133,0 10.144,0 8.800 11.456 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.024 3 9.674,0 9.536,0 7.968 11.520 1.780,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.880 3 10.293,0 10.560,0 8.416 11.904 1.759,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.536 3 9.845,0 9.632,0 7.968 11.936 1.992,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.192 3 8.064,0 8.000,0 6.784 9.408 1.313,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.496 3 10.165,0 10.496,0 8.192 11.808 1.830,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.536 3 9.845,0 9.504,0 8.416 11.616 1.627,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.360 3 7.786,0 7.776,0 6.304 9.280 1.488,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.504 3 9.834,0 9.632,0 8.000 11.872 1.943,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.344 3 9.781,0 9.696,0 8.160 11.488 1.665,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.120 3 9.706,0 9.632,0 7.872 11.616 1.873,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.440 3 9.813,0 9.888,0 8.032 11.520 1.745,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.208 3 10.069,0 9.792,0 8.160 12.256 2.062,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.952 3 9.984,0 9.728,0 8.160 12.064 1.964,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.408 3 9.802,0 9.632,0 8.192 11.584 1.702,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.192 3 8.064,0 8.032,0 6.624 9.536 1.456,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.024 3 9.674,0 9.536,0 8.064 11.424 1.684,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.272 3 10.090,0 10.272,0 8.160 11.840 1.846,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.032 3 8.010,0 7.744,0 6.816 9.472 1.347,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.528 3 10.176,0 10.592,0 8.128 11.808 1.874,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.800 3 9.600,0 9.568,0 8.000 11.232 1.616,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.408 3 9.802,0 9.696,0 8.096 11.616 1.762,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.256 3 8.085,0 8.032,0 6.784 9.440 1.328,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.096 3 8.032,0 8.000,0 6.784 9.312 1.264,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.472 3 9.824,0 10.528,0 8.096 10.848 1.505,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 28.864 3 9.621,0 9.440,0 7.968 11.456 1.751,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.000 3 8.000,0 7.680,0 6.784 9.536 1.403,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.408 3 9.802,0 9.888,0 8.160 11.360 1.601,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.120 3 9.706,0 9.696,0 8.192 11.232 1.520,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.024 3 9.674,0 9.088,0 8.096 11.840 1.939,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.992 3 9.664,0 9.472,0 8.032 11.488 1.736,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.352 3 8.117,0 8.192,0 6.752 9.408 1.329,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 25.632 3 8.544,0 8.256,0 6.816 10.560 1.888,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.584 3 10.528,0 10.208,0 9.504 11.872 1.216,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.344 3 9.781,0 9.216,0 8.096 12.032 2.028,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.464 3 10.154,0 10.464,0 8.160 11.840 1.859,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.032 3 8.010,0 7.968,0 6.752 9.312 1.280,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 31.008 3 10.336,0 10.048,0 8.992 11.968 1.508,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.920 3 9.973,0 10.176,0 8.256 11.488 1.625,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 29.376 3 9.792,0 9.440,0 8.352 11.584 1.644,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.872 3 7.957,0 7.776,0 6.784 9.312 1.273,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.176 3 10.058,0 11.008,0 7.904 11.264 1.870,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.904 3 7.968,0 8.000,0 6.784 9.120 1.168,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.744 3 7.914,0 8.000,0 6.624 9.120 1.250,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.680 3 10.560,0 10.368,0 9.184 12.128 1.481,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 36.480 3 12.160,0 11.552,0 10.016 14.912 2.504,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.944 3 10.314,0 10.208,0 8.928 11.808 1.443,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.680 3 7.893,0 7.840,0 6.816 9.024 1.105,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 23.808 3 7.936,0 8.000,0 6.624 9.184 1.281,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 31.712 3 10.570,0 10.272,0 9.056 12.384 1.684,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 24.768 3 8.256,0 8.000,0 6.464 10.304 1.932,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.048 3 10.016,0 9.760,0 8.192 12.096 1.964,0 CUDA_KERNEL lud_internal(float *, int, int)
