37,0 518.093.152 5 103.618.630,0 94.121.024,0 89.570.240 137.908.896 20.116.108,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 490.668.576 5 98.133.715,0 92.652.672,0 90.512.224 118.265.248 11.643.868,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 487.459.072 5 97.491.814,0 92.421.728,0 90.518.784 119.847.328 12.548.960,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 489.747.808 5 97.949.561,0 92.476.448,0 90.528.480 108.054.272 8.934.130,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 499.815.072 5 99.963.014,0 92.485.824,0 90.452.480 129.701.504 16.760.610,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 543.067.104 5 108.613.420,0 106.588.384,0 91.845.088 138.628.384 19.201.503,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
37,0 496.394.144 5 99.278.828,0 92.540.352,0 90.501.312 125.738.080 14.979.875,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 491.725.472 5 98.345.094,0 92.261.824,0 90.579.200 125.260.800 15.067.632,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 486.310.400 5 97.262.080,0 92.474.560,0 90.501.952 118.482.624 11.894.384,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 478.359.616 5 95.671.923,0 91.723.904,0 90.493.472 111.544.608 8.946.263,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
36,0 480.978.432 5 96.195.686,0 92.420.576,0 90.490.688 110.633.984 8.263.911,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
