5,0 331.904 8 41.488,0 42.608,0 21.504 54.496 11.100,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.112 8 42.264,0 42.880,0 21.504 58.048 12.098,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 281.696 8 35.212,0 35.216,0 18.080 48.640 10.630,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 342.560 8 42.820,0 43.984,0 21.024 58.688 12.418,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 333.344 8 41.668,0 43.184,0 21.824 53.664 10.936,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 232.224 8 29.028,0 29.712,0 14.784 40.896 8.884,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 336.576 8 42.072,0 44.400,0 20.864 54.400 11.432,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 333.152 8 41.644,0 43.712,0 20.608 52.608 11.192,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 332.800 8 41.600,0 43.648,0 20.224 54.784 11.543,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 342.208 8 42.776,0 44.240,0 21.120 55.552 11.960,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 336.640 8 42.080,0 44.848,0 20.736 55.584 11.825,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 283.808 8 35.476,0 36.384,0 17.888 46.784 10.158,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 203.232 8 25.404,0 26.368,0 12.640 32.096 6.925,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 337.184 8 42.148,0 43.280,0 21.600 55.232 11.583,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 335.776 8 41.972,0 42.880,0 21.120 54.592 11.693,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 234.080 8 29.260,0 30.640,0 14.208 38.176 8.084,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 332.160 8 41.520,0 43.152,0 22.144 53.312 10.494,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 337.856 8 42.232,0 43.728,0 20.864 56.896 11.843,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 234.272 8 29.284,0 30.560,0 14.560 37.472 7.867,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 339.200 8 42.400,0 43.392,0 22.304 55.936 11.428,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.432 8 42.304,0 44.448,0 20.992 54.592 11.671,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 223.808 8 27.976,0 29.504,0 13.792 36.064 7.501,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 205.088 8 25.636,0 27.056,0 13.088 33.664 6.905,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 202.688 8 25.336,0 26.384,0 13.312 32.384 6.611,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
1,0 205.792 8 25.724,0 26.144,0 13.824 33.632 6.519,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 176.448 8 22.056,0 23.136,0 11.040 28.352 5.972,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
3,0 234.496 8 29.312,0 30.752,0 15.424 37.216 7.490,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 205.472 8 25.684,0 26.432,0 13.312 35.264 7.346,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 339.008 8 42.376,0 44.368,0 21.344 54.592 11.580,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 233.280 8 29.160,0 30.192,0 14.528 37.728 7.977,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 338.624 8 42.328,0 43.456,0 21.568 55.168 11.436,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 340.832 8 42.604,0 44.240,0 21.152 55.200 11.797,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 332.320 8 41.540,0 43.216,0 21.184 53.920 11.195,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 235.968 8 29.496,0 31.200,0 14.880 38.880 7.997,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 338.016 8 42.252,0 44.000,0 21.216 55.808 11.743,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 203.520 8 25.440,0 26.800,0 12.896 32.736 6.916,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 236.480 8 29.560,0 30.512,0 14.656 38.688 8.072,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 341.056 8 42.632,0 43.584,0 21.568 55.968 11.811,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
5,0 336.704 8 42.088,0 43.408,0 20.256 55.040 11.887,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
4,0 339.488 8 42.436,0 44.864,0 21.216 54.272 11.243,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6,0 235.360 8 29.420,0 31.072,0 14.336 37.728 8.124,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
