     16,0        1.979.744          1  1.979.744,0  1.979.744,0  1.979.744  1.979.744          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          413.536          1    413.536,0    413.536,0    413.536    413.536          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     18,0        1.971.904          1  1.971.904,0  1.971.904,0  1.971.904  1.971.904          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          409.984          1    409.984,0    409.984,0    409.984    409.984          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.964.224          1  1.964.224,0  1.964.224,0  1.964.224  1.964.224          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          413.728          1    413.728,0    413.728,0    413.728    413.728          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        2.927.456          1  2.927.456,0  2.927.456,0  2.927.456  2.927.456          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          550.912          1    550.912,0    550.912,0    550.912    550.912          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        2.089.312          1  2.089.312,0  2.089.312,0  2.089.312  2.089.312          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      6,0          550.144          1    550.144,0    550.144,0    550.144    550.144          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.972.640          1  1.972.640,0  1.972.640,0  1.972.640  1.972.640          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          410.880          1    410.880,0    410.880,0    410.880    410.880          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
