      0,0           21.920          3    7.306,0    7.328,0     6.240     8.352      1.056,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          192.672          4   48.168,0   47.040,0    46.720    51.872      2.485,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          161.408          3   53.802,0   52.160,0    52.000    57.248      2.984,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.632          3    7.210,0    7.264,0     6.144     8.224      1.041,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          192.448          4   48.112,0   47.200,0    46.784    51.264      2.114,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          160.896          3   53.632,0   52.544,0    51.552    56.800      2.788,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.016          3    7.338,0    7.264,0     6.368     8.384      1.010,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          192.256          4   48.064,0   46.768,0    46.752    51.968      2.602,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          160.448          3   53.482,0   52.128,0    51.904    56.416      2.542,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           21.824          3    7.274,0    7.264,0     6.208     8.352      1.072,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      7,0          192.192          4   48.048,0   47.120,0    46.976    50.976      1.953,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          160.768          3   53.589,0   52.608,0    51.456    56.704      2.758,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.144          3    7.381,0    7.328,0     6.336     8.480      1.073,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          191.648          4   47.912,0   46.960,0    46.720    51.008      2.070,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          161.536          3   53.845,0   52.576,0    51.488    57.472      3.187,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           22.016          3    7.338,0    7.328,0     6.304     8.384      1.040,0  CUDA_KERNEL  lud_internal(float *, int, int) 
     13,0          191.872          4   47.968,0   46.736,0    46.720    51.680      2.474,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     11,0          160.960          3   53.653,0   52.224,0    52.128    56.608      2.559,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           22.080          3    7.360,0    7.328,0     6.144     8.608      1.232,0  CUDA_KERNEL  lud_internal(float *, int, int) 
     10,0          192.544          4   48.136,0   46.832,0    46.784    52.096      2.640,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      8,0          160.992          3   53.664,0   52.352,0    51.552    57.088      2.992,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           22.560          3    7.520,0    7.392,0     6.272     8.896      1.316,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          258.432          4     64.608,0     63.104,0    62.464     69.760      3.447,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          217.280          3     72.426,0     70.912,0    69.088     77.280      4.300,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           30.368          3     10.122,0      9.472,0     8.160     12.736      2.356,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.352          4     64.088,0     62.528,0    62.336     68.960      3.250,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.456          3     71.818,0     69.888,0    68.832     76.736      4.291,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.944          3     10.314,0     10.304,0     7.904     12.736      2.416,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          258.272          4     64.568,0     63.168,0    62.336     69.600      3.379,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.840          3     71.946,0     70.336,0    68.672     76.832      4.311,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.752          3     10.250,0      9.600,0     8.544     12.608      2.108,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.824          4     64.456,0     62.864,0    62.784     69.312      3.237,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.648          3     71.882,0     69.824,0    68.896     76.928      4.394,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           29.920          3      9.973,0      9.440,0     8.704     11.776      1.603,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.728          4     64.432,0     63.104,0    62.400     69.120      3.143,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.488          3     71.829,0     69.248,0    68.736     77.504      4.921,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0           30.336          3     10.112,0     10.208,0     8.512     11.616      1.554,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          258.048          4     64.512,0     62.800,0    62.432     70.016      3.675,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      7,0          216.800          3     72.266,0     70.752,0    69.632     76.416      3.636,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           27.648          3      9.216,0      8.736,0     7.680     11.232      1.824,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          257.184          4     64.296,0     62.784,0    62.336     69.280      3.346,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          214.624          3     71.541,0     69.696,0    68.800     76.128      3.997,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0,0           28.832          3      9.610,0      9.376,0     7.936     11.520      1.803,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      8,0          256.992          4     64.248,0     62.464,0    62.336     69.728      3.654,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      6,0          215.200          3     71.733,0     69.728,0    68.640     76.832      4.449,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
