0,0 29.984 3 9.994,0 9.600,0 7.680 12.704 2.535,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.184 3 9.728,0 10.080,0 7.968 11.136 1.613,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.600 3 9.866,0 9.472,0 8.352 11.776 1.745,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.312 3 9.770,0 9.536,0 7.680 12.096 2.217,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.120 3 9.706,0 9.536,0 7.968 11.616 1.830,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.760 3 9.920,0 9.472,0 8.512 11.776 1.677,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.984 3 9.994,0 10.464,0 7.648 11.872 2.150,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.408 3 9.802,0 10.048,0 7.968 11.392 1.725,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.992 3 9.664,0 9.344,0 7.936 11.712 1.908,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.048 3 10.016,0 9.728,0 8.608 11.712 1.571,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.208 3 10.069,0 9.600,0 7.936 12.672 2.402,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.600 3 9.866,0 9.824,0 8.000 11.776 1.888,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.664 3 9.888,0 9.728,0 8.608 11.328 1.367,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.672 3 9.557,0 8.960,0 8.224 11.488 1.712,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.216 3 9.738,0 10.048,0 8.128 11.040 1.480,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.952 3 9.984,0 9.568,0 8.704 11.680 1.531,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.448 3 9.482,0 9.408,0 8.032 11.008 1.489,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.768 3 9.589,0 8.768,0 8.128 11.872 2.002,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.728 3 9.909,0 9.952,0 8.224 11.552 1.664,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.536 3 9.845,0 10.176,0 8.064 11.296 1.641,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.088 3 9.696,0 9.984,0 7.616 11.488 1.952,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.344 3 9.781,0 10.176,0 8.096 11.072 1.526,0 CUDA_KERNEL lud_internal(float *, int, int)
1,0 30.912 3 10.304,0 9.536,0 8.608 12.768 2.183,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.888 3 9.962,0 9.952,0 8.288 11.648 1.680,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.792 3 9.930,0 9.344,0 7.840 12.608 2.437,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.704 3 9.568,0 9.472,0 8.192 11.040 1.426,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 30.048 3 10.016,0 10.112,0 8.608 11.328 1.362,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.984 3 9.994,0 9.344,0 8.640 12.000 1.772,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.472 3 9.824,0 9.632,0 8.192 11.648 1.736,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.696 3 9.898,0 10.176,0 7.872 11.648 1.903,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.504 3 9.834,0 10.144,0 8.000 11.360 1.701,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 29.408 3 9.802,0 9.792,0 8.256 11.360 1.552,0 CUDA_KERNEL lud_internal(float *, int, int)
0,0 28.992 3 9.664,0 9.920,0 7.712 11.360 1.837,0 CUDA_KERNEL lud_internal(float *, int, int)
