4,0 362.809.056 6.000 60.468,0 59.360,0 53.568 176.928 13.379,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.065.856 6.000 61.344,0 59.744,0 53.824 2.175.648 30.277,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 375.140.000 6.000 62.523,0 59.424,0 53.568 2.012.128 32.423,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 358.313.024 6.000 59.718,0 59.744,0 52.640 1.074.688 17.183,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 378.180.768 6.000 63.030,0 60.288,0 53.760 177.728 18.505,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.513.760 6.000 59.919,0 60.384,0 53.952 175.744 8.924,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.807.392 6.000 61.467,0 60.576,0 53.888 1.940.992 27.225,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.471.488 6.000 61.411,0 59.744,0 54.272 1.083.136 19.874,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 369.593.888 6.000 61.599,0 59.040,0 53.952 184.096 16.338,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 369.206.816 6.000 61.534,0 60.960,0 53.184 170.272 12.546,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 367.716.576 6.000 61.286,0 60.416,0 54.464 1.128.128 22.696,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 356.816.544 6.000 59.469,0 59.584,0 53.952 172.448 9.310,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.994.272 6.000 59.999,0 59.392,0 53.952 1.076.416 16.562,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 370.973.280 6.000 61.828,0 60.032,0 54.592 176.544 15.439,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.739.744 6.000 61.123,0 58.400,0 52.864 1.137.152 25.655,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.610.176 6.000 61.101,0 59.200,0 53.184 177.760 16.167,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.819.712 6.000 59.970,0 59.616,0 53.568 174.208 11.371,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 371.148.736 6.000 61.858,0 60.128,0 53.248 1.993.728 28.992,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.318.464 6.000 60.719,0 59.264,0 52.704 176.416 12.991,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.519.968 6.000 61.086,0 58.912,0 51.840 2.086.976 34.295,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.599.392 6.000 61.433,0 58.912,0 55.328 1.142.528 20.561,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.297.984 6.000 60.883,0 60.928,0 53.216 1.135.968 17.741,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 357.840.704 6.000 59.640,0 59.968,0 54.272 169.440 8.511,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 355.071.392 6.000 59.178,0 57.920,0 53.696 166.752 11.968,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.717.216 6.000 60.786,0 59.936,0 54.112 1.505.984 22.591,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.048.800 6.000 60.841,0 59.072,0 53.408 1.536.288 23.624,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 370.372.640 6.000 61.728,0 59.456,0 52.384 1.081.120 24.244,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.233.504 6.000 60.705,0 61.056,0 53.888 1.079.200 16.406,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 358.616.000 6.000 59.769,0 59.648,0 52.768 175.840 11.318,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.422.144 6.000 61.403,0 59.808,0 53.792 1.534.048 23.765,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.707.520 6.000 61.117,0 59.360,0 54.624 170.592 14.377,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.584.096 6.000 60.764,0 59.296,0 53.312 1.997.312 28.314,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 367.091.008 6.000 61.181,0 60.416,0 53.792 175.424 12.920,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 361.552.160 6.000 60.258,0 59.968,0 53.632 1.094.944 16.793,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.109.728 6.000 60.851,0 59.424,0 53.344 170.880 13.508,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.773.472 6.000 59.962,0 60.416,0 53.696 1.141.600 14.887,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 357.162.880 6.000 59.527,0 58.688,0 54.048 2.181.792 34.892,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.901.088 6.000 60.983,0 60.160,0 53.792 174.880 11.624,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.418.496 6.000 60.903,0 60.576,0 54.720 1.952.800 29.862,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.019.776 6.000 60.836,0 60.800,0 54.496 1.554.752 23.489,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 372.016.608 6.000 62.002,0 58.848,0 52.896 1.080.192 24.120,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.760.768 6.000 61.126,0 60.064,0 55.264 171.296 11.775,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 362.441.376 6.000 60.406,0 59.392,0 53.216 2.258.208 37.898,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 405.319.456 6.000 67.553,0 60.800,0 55.040 177.280 24.799,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 358.381.184 6.000 59.730,0 59.872,0 54.112 171.008 9.480,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 360.264.768 6.000 60.044,0 60.672,0 53.952 184.288 8.820,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 377.552.032 6.000 62.925,0 58.528,0 52.224 3.663.200 55.936,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 364.184.352 6.000 60.697,0 60.800,0 55.264 1.481.312 21.956,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 368.140.640 6.000 61.356,0 60.864,0 54.560 170.208 10.776,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.832.096 6.000 61.138,0 60.544,0 53.280 180.160 13.142,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 353.817.728 6.000 58.969,0 57.536,0 53.440 1.486.080 28.414,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 355.258.624 6.000 59.209,0 59.008,0 55.008 1.081.024 15.400,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 373.711.136 6.000 62.285,0 59.328,0 53.408 2.882.464 40.414,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 367.610.944 6.000 61.268,0 58.496,0 53.760 2.053.216 31.553,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 356.118.944 6.000 59.353,0 59.040,0 54.336 2.041.888 26.674,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 360.913.888 6.000 60.152,0 60.000,0 55.072 172.288 10.458,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 377.606.688 6.000 62.934,0 60.000,0 52.736 1.965.088 30.826,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 360.313.568 6.000 60.052,0 59.456,0 53.344 174.208 11.046,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 365.745.664 6.000 60.957,0 59.104,0 53.440 168.576 15.207,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 356.400.320 6.000 59.400,0 59.840,0 53.888 2.073.408 29.351,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.387.904 6.000 61.064,0 61.568,0 53.216 175.616 10.093,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 375.405.600 6.000 62.567,0 59.808,0 52.832 179.296 19.027,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
