37,0 3.372.812.896 6.000 562.135,0 555.552,0 548.512 2.655.520 70.267,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.424.087.488 6.000 570.681,0 554.176,0 525.760 2.619.264 106.681,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.380.231.072 6.000 563.371,0 555.648,0 548.800 2.538.720 71.393,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.403.685.184 6.000 567.280,0 555.168,0 526.080 2.637.920 91.365,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.344.564.992 6.000 557.427,0 553.056,0 526.048 2.388.512 83.324,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.495.248.224 6.000 582.541,0 555.648,0 527.520 3.164.384 108.640,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.370.587.936 6.000 561.764,0 555.328,0 527.168 2.500.448 76.192,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.461.380.736 6.000 576.896,0 555.328,0 526.944 3.053.920 117.236,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.382.799.296 6.000 563.799,0 555.072,0 546.688 2.494.624 78.695,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.387.829.408 6.000 564.638,0 555.712,0 527.072 2.349.024 82.145,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.412.932.352 6.000 568.822,0 555.328,0 527.616 2.660.672 95.189,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.405.039.008 6.000 567.506,0 552.816,0 526.816 4.602.976 119.190,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.402.847.680 6.000 567.141,0 555.360,0 527.328 4.052.160 100.662,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.372.961.504 6.000 562.160,0 554.912,0 528.256 2.508.704 81.105,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.383.699.040 6.000 563.949,0 556.224,0 548.704 2.475.680 73.754,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.398.672.768 6.000 566.445,0 555.968,0 548.096 2.645.952 73.147,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.431.924.192 6.000 571.987,0 555.296,0 529.728 2.504.448 100.859,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.401.789.408 6.000 566.964,0 553.280,0 525.984 2.721.344 113.942,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.392.180.640 6.000 565.363,0 552.864,0 527.008 2.579.264 105.121,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.373.837.056 6.000 562.306,0 555.040,0 527.456 3.520.160 81.071,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.389.861.024 6.000 564.976,0 554.688,0 526.720 2.526.656 92.427,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.399.483.584 6.000 566.580,0 554.048,0 526.368 2.404.512 93.694,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.354.557.696 6.000 559.092,0 534.848,0 526.176 1.883.328 95.494,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.445.995.584 6.000 574.332,0 555.776,0 546.944 3.902.816 105.708,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.383.765.568 6.000 563.960,0 555.360,0 526.752 2.505.856 76.375,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.380.638.016 6.000 563.439,0 555.424,0 547.680 2.550.336 73.603,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.394.246.560 6.000 565.707,0 555.200,0 525.920 2.673.888 87.035,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.383.159.136 6.000 563.859,0 555.136,0 527.296 2.713.024 86.119,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.386.071.744 6.000 564.345,0 554.944,0 527.168 2.521.440 89.686,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.389.792.544 6.000 564.965,0 553.232,0 526.240 2.499.680 102.485,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.389.636.800 6.000 564.939,0 555.232,0 547.040 2.519.200 82.957,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.388.440.416 6.000 564.740,0 556.000,0 526.912 2.521.984 75.633,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.405.836.928 6.000 567.639,0 555.104,0 526.976 2.977.536 94.809,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.449.152.384 6.000 574.858,0 555.200,0 547.584 4.991.072 115.295,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.395.068.960 6.000 565.844,0 555.168,0 526.944 2.069.504 85.450,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.408.539.744 6.000 568.090,0 554.880,0 526.048 2.539.552 84.106,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.379.363.520 6.000 563.227,0 555.072,0 526.976 2.510.528 74.068,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.392.230.464 6.000 565.371,0 554.720,0 527.136 2.525.152 96.849,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.394.399.392 6.000 565.733,0 555.840,0 548.032 2.497.952 69.881,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.375.033.440 6.000 562.505,0 555.712,0 548.608 2.526.656 62.064,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.412.868.000 6.000 568.811,0 555.328,0 525.408 2.549.088 89.819,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
