1,0 93.889.984 2.000 46.945,0 46.144,0 42.688 1.030.880 22.829,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.715.424 2.000 43.857,0 41.984,0 41.024 98.944 6.864,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.779.040 2.000 43.889,0 42.528,0 41.856 2.049.728 44.963,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.076.256 2.000 43.538,0 43.136,0 42.048 101.664 3.146,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.886.432 2.000 43.943,0 42.912,0 40.576 98.304 7.049,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.486.560 2.000 44.743,0 44.480,0 41.088 99.104 5.433,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.920.832 2.000 43.960,0 43.680,0 40.608 99.520 6.006,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.690.624 2.000 45.845,0 45.408,0 44.544 101.152 3.565,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.309.120 2.000 44.154,0 43.904,0 41.024 100.672 4.259,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.998.720 2.000 43.999,0 43.904,0 41.216 101.152 3.485,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.697.088 2.000 44.348,0 43.808,0 40.672 99.424 6.411,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.487.840 2.000 45.243,0 44.704,0 41.728 101.120 4.565,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.244.192 2.000 45.122,0 44.800,0 43.616 100.800 3.079,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.721.376 2.000 42.860,0 42.496,0 41.440 95.488 3.197,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.362.688 2.000 45.181,0 44.064,0 43.168 100.480 4.690,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.697.632 2.000 43.848,0 43.552,0 40.768 98.880 5.057,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.321.408 2.000 42.660,0 42.304,0 39.744 96.064 4.599,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.711.520 2.000 42.855,0 42.464,0 41.664 96.256 3.116,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.316.192 2.000 42.658,0 42.336,0 39.776 96.896 4.419,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.734.912 2.000 43.867,0 43.872,0 40.544 99.904 4.040,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.527.392 2.000 44.263,0 43.744,0 41.248 98.336 4.153,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.948.032 2.000 43.974,0 43.328,0 42.560 98.400 3.282,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.541.952 2.000 43.271,0 41.408,0 40.544 98.144 6.951,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.129.120 2.000 45.064,0 43.648,0 40.672 2.009.568 44.214,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.348.000 2.000 42.174,0 41.760,0 39.424 97.344 4.664,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.099.424 2.000 44.049,0 42.816,0 42.016 1.114.368 24.256,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.849.280 2.000 44.424,0 43.808,0 42.912 99.584 4.556,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.535.520 2.000 45.267,0 44.608,0 41.920 100.000 4.852,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.466.912 2.000 44.733,0 44.384,0 41.440 100.608 5.667,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 83.564.896 2.000 41.782,0 41.408,0 40.544 96.384 3.196,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.089.920 2.000 45.045,0 44.000,0 43.264 1.539.424 33.551,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.628.352 2.000 45.314,0 44.768,0 43.840 99.424 3.455,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.804.928 2.000 43.902,0 42.880,0 40.384 98.784 5.693,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 87.548.768 2.000 43.774,0 41.792,0 39.616 96.448 8.936,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.382.944 2.000 42.191,0 40.000,0 39.008 1.511.808 33.450,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.342.880 2.000 43.671,0 43.552,0 40.544 99.840 4.237,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.355.936 2.000 42.178,0 41.984,0 39.296 96.576 3.415,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.852.064 2.000 42.926,0 42.624,0 41.440 99.104 2.981,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.429.504 2.000 42.214,0 40.896,0 38.752 763.488 17.579,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.532.256 2.000 42.766,0 42.496,0 39.936 97.056 3.962,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.411.520 2.000 42.705,0 42.464,0 41.568 98.304 2.891,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.894.496 2.000 44.447,0 42.592,0 41.504 101.536 6.023,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
