5,0 461.075.488 6.000 76.845,0 76.608,0 66.560 1.463.264 26.596,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 470.334.816 6.000 78.389,0 77.792,0 76.672 173.024 6.192,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 474.768.992 6.000 79.128,0 77.760,0 76.416 1.512.960 24.393,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.614.208 6.000 77.935,0 77.152,0 66.560 178.528 17.058,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.260.384 6.000 78.210,0 76.864,0 66.720 1.515.168 25.003,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 463.756.000 6.000 77.292,0 77.440,0 66.688 1.447.456 28.571,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 463.452.672 6.000 77.242,0 77.056,0 76.000 99.616 1.931,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 456.611.200 6.000 76.101,0 76.320,0 66.048 1.555.008 25.328,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 471.837.344 6.000 78.639,0 76.608,0 66.624 1.100.928 21.255,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.211.136 6.000 78.701,0 77.056,0 75.744 2.277.088 40.408,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.578.112 6.000 77.929,0 77.024,0 75.904 1.155.328 15.695,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.952.576 6.000 78.825,0 78.400,0 67.008 1.631.488 32.031,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 479.641.632 6.000 79.940,0 77.536,0 66.848 1.536.224 32.187,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 469.503.552 6.000 78.250,0 77.376,0 66.688 2.109.088 29.245,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 463.494.240 6.000 77.249,0 77.728,0 67.328 1.152.000 18.958,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 444.667.328 6.000 74.111,0 68.224,0 66.912 181.824 15.743,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 468.921.664 6.000 78.153,0 77.376,0 76.096 1.162.848 15.339,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.769.696 6.000 77.961,0 76.960,0 75.872 1.515.488 19.713,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 454.674.944 6.000 75.779,0 76.896,0 66.752 873.024 19.076,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.337.824 6.000 77.389,0 78.176,0 67.008 1.134.880 18.679,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 457.169.952 6.000 76.195,0 76.544,0 66.624 3.278.528 43.545,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.712.096 6.000 77.952,0 77.088,0 75.776 171.456 7.758,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.778.528 6.000 77.963,0 77.824,0 67.456 1.152.128 21.560,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 454.779.936 6.000 75.796,0 76.224,0 66.112 1.162.016 20.892,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 460.675.360 6.000 76.779,0 76.864,0 66.656 2.068.832 32.277,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 472.721.792 6.000 78.787,0 77.312,0 66.976 2.019.936 26.978,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.843.808 6.000 77.974,0 77.344,0 76.128 171.840 6.364,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.348.384 6.000 77.724,0 76.768,0 75.392 1.078.432 14.759,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 475.953.088 6.000 79.325,0 77.600,0 76.192 1.076.032 14.973,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
