0,0 192.736 8 24.092,0 25.504,0 12.704 29.664 5.333,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.448 8 24.056,0 25.312,0 11.616 30.208 6.020,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.288 8 24.036,0 25.792,0 11.712 29.600 5.800,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.944 8 23.868,0 25.424,0 13.280 30.560 5.475,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.688 8 23.836,0 25.408,0 12.000 29.472 5.779,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.512 8 24.064,0 25.200,0 12.256 30.048 5.682,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.440 8 24.180,0 25.488,0 12.672 30.144 5.597,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.584 8 23.948,0 25.552,0 12.576 30.016 5.495,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.720 8 23.840,0 25.136,0 12.224 30.624 5.700,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.592 8 23.824,0 25.456,0 12.224 29.952 5.736,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.016 8 23.752,0 25.584,0 11.840 29.088 5.705,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.664 8 24.208,0 25.248,0 13.088 29.824 5.589,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.272 8 23.784,0 25.264,0 12.576 30.048 5.395,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.888 8 24.236,0 25.344,0 12.096 29.888 5.709,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.448 8 24.056,0 25.488,0 12.288 29.440 5.528,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.760 8 24.220,0 25.296,0 11.840 30.688 6.015,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.056 8 23.632,0 25.392,0 11.488 29.376 5.868,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.144 8 24.268,0 25.808,0 12.576 29.760 5.607,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 196.576 8 24.572,0 25.408,0 12.416 32.352 6.057,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.384 8 24.048,0 25.520,0 12.128 30.240 5.651,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.240 8 23.780,0 25.264,0 11.328 30.208 6.100,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.920 8 24.240,0 25.792,0 11.744 29.984 6.014,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 101.856 8 12.732,0 13.584,0 6.816 15.360 2.861,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.280 8 24.160,0 25.776,0 11.968 30.464 5.980,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.088 8 24.136,0 25.504,0 11.936 30.528 5.803,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.768 8 24.096,0 25.392,0 12.704 30.272 5.597,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.568 8 24.196,0 25.760,0 11.744 29.184 5.703,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.304 8 24.288,0 26.064,0 12.384 28.960 5.547,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 102.976 8 12.872,0 13.328,0 7.040 15.264 2.767,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.064 8 24.008,0 25.616,0 12.160 29.120 5.608,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.008 8 23.876,0 25.088,0 12.096 30.592 5.764,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.744 8 23.968,0 25.696,0 11.424 30.336 6.058,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.520 8 23.940,0 25.264,0 11.904 29.536 5.805,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.760 8 24.220,0 25.504,0 12.608 29.824 5.528,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.096 8 24.012,0 25.760,0 11.712 29.376 5.929,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.584 8 23.948,0 25.360,0 11.296 29.472 5.833,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.232 8 23.904,0 25.664,0 11.456 29.216 5.826,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.808 8 23.976,0 25.408,0 12.192 30.112 5.787,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.232 8 23.904,0 25.520,0 12.736 29.952 5.715,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.624 8 23.828,0 25.648,0 11.456 29.504 5.768,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.400 8 24.300,0 25.184,0 12.800 32.160 5.859,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 197.408 8 24.676,0 25.920,0 13.216 30.976 5.534,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.552 8 23.944,0 25.520,0 13.472 29.664 5.158,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.416 8 24.052,0 25.328,0 12.576 30.272 5.481,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.832 8 24.104,0 25.776,0 12.032 29.344 5.521,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.200 8 23.900,0 24.752,0 12.832 29.600 5.429,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.936 8 23.992,0 25.440,0 12.928 30.080 5.567,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.920 8 23.740,0 25.168,0 12.640 29.440 5.304,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.360 8 23.920,0 25.504,0 12.608 29.056 5.335,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.920 8 23.740,0 25.040,0 12.160 30.560 5.811,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 188.864 8 23.608,0 25.200,0 12.352 28.608 5.199,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.696 8 24.212,0 26.016,0 12.608 29.696 5.572,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.040 8 23.880,0 25.280,0 12.192 30.112 5.542,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.792 8 23.724,0 25.328,0 12.000 29.568 5.823,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.088 8 24.136,0 25.488,0 12.672 31.008 5.722,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.296 8 23.912,0 25.424,0 12.096 29.664 5.688,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.088 8 24.136,0 25.888,0 11.520 29.696 5.891,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.144 8 24.268,0 25.632,0 12.704 30.304 5.724,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.384 8 24.048,0 25.536,0 12.768 29.536 5.346,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.640 8 24.080,0 25.568,0 12.032 29.408 5.712,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.888 8 23.736,0 25.408,0 11.616 30.016 5.908,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.344 8 24.168,0 25.552,0 12.544 30.176 5.747,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.384 8 24.048,0 25.984,0 12.256 29.216 5.700,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.872 8 23.984,0 25.552,0 12.160 29.632 5.713,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 100.704 8 12.588,0 13.504,0 6.816 15.200 2.942,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 191.616 8 23.952,0 25.328,0 12.192 29.728 5.669,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.800 8 24.100,0 25.952,0 11.872 30.304 5.947,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.720 8 24.340,0 25.600,0 12.512 31.296 5.695,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.824 8 23.728,0 24.880,0 12.608 29.792 5.351,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 190.496 8 23.812,0 25.120,0 11.776 29.920 5.835,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.984 8 24.248,0 25.808,0 12.544 30.240 5.811,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 194.816 8 24.352,0 25.696,0 12.320 32.704 6.313,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.320 8 24.040,0 25.360,0 11.616 29.696 5.794,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 189.376 8 23.672,0 24.944,0 13.056 29.632 5.324,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.832 8 24.104,0 25.712,0 11.872 30.848 5.967,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 192.448 8 24.056,0 25.840,0 11.872 29.248 5.705,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 187.712 8 23.464,0 24.960,0 11.904 29.120 5.537,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
0,0 193.600 8 24.200,0 25.856,0 12.416 29.952 5.633,0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
