     25,0        2.355.808          1  2.355.808,0  2.355.808,0  2.355.808  2.355.808          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          481.664          1    481.664,0    481.664,0    481.664    481.664          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        3.894.112          1  3.894.112,0  3.894.112,0  3.894.112  3.894.112          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          804.608          1    804.608,0    804.608,0    804.608    804.608          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     29,0        3.926.144          1  3.926.144,0  3.926.144,0  3.926.144  3.926.144          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      6,0          810.208          1    810.208,0    810.208,0    810.208    810.208          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        1.958.592          1  1.958.592,0  1.958.592,0  1.958.592  1.958.592          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          434.496          1    434.496,0    434.496,0    434.496    434.496          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.970.496          1  1.970.496,0  1.970.496,0  1.970.496  1.970.496          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          429.088          1    429.088,0    429.088,0    429.088    429.088          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        2.355.712          1  2.355.712,0  2.355.712,0  2.355.712  2.355.712          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          488.992          1    488.992,0    488.992,0    488.992    488.992          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        2.906.304          1  2.906.304,0  2.906.304,0  2.906.304  2.906.304          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          570.464          1    570.464,0    570.464,0    570.464    570.464          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.878.208          1  3.878.208,0  3.878.208,0  3.878.208  3.878.208          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
