      2,0       10.936.672        127       86.115,0       78.560,0       51.872      150.912      28.796,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        6.199.200        128       48.431,0       47.808,0       46.720       52.544       1.601,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      103.232.288        127      812.852,0      646.336,0        8.416    1.904.320     685.368,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       13.947.456        127      109.822,0      107.904,0       69.248      164.544      31.265,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.097.728        128       63.263,0       63.024,0       50.080       69.856       5.372,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.603.488        127      863.019,0      648.800,0        6.848    2.326.720     767.297,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.336.480        127      112.885,0      108.064,0       68.064      180.128      36.466,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.217.024        128       64.195,0       63.168,0       51.168       69.184       4.069,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.380.992        127      861.267,0      611.136,0        6.944    2.317.376     766.911,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.349.312        127      112.986,0      107.328,0       68.480      179.328      36.343,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.253.440        128       64.480,0       64.512,0       51.200       68.608       4.074,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.195.776        127      859.809,0      618.240,0        7.008    2.306.720     761.709,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.258.208        127      112.269,0      107.616,0       67.808      179.552      35.824,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.225.344        128       64.260,0       64.912,0       44.544       68.640       5.095,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      112.729.120        127      887.630,0      611.584,0        6.752    2.600.512     818.765,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.630.144        127      115.198,0      106.016,0       68.128      196.960      39.076,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.341.568        128       65.168,0       64.368,0       61.184       68.960       3.028,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.356.288        127      861.073,0      634.272,0        6.656    2.334.112     764.335,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.392.512        127      113.326,0      108.288,0       67.968      179.808      36.142,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.286.016        128       64.734,0       65.504,0       51.072       68.864       4.052,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      107.076.160        127      843.119,0      589.472,0        6.720    2.204.672     743.638,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.289.344        127      112.514,0      107.296,0       67.904      174.656      35.164,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.195.808        128       64.029,0       63.600,0       51.136       68.800       4.286,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      107.665.312        127      847.758,0      618.624,0        7.936    2.244.416     747.565,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.326.816        127      112.809,0      108.416,0       69.504      174.080      34.990,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.257.184        128       64.509,0       63.344,0       51.168       68.736       4.290,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      110.728.576        127      871.878,0      655.072,0        6.656    2.387.552     779.135,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.396.096        127      113.355,0      105.728,0       67.552      180.448      37.063,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.190.464        128       63.988,0       63.696,0       51.264       69.152       3.624,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.841.280        127      857.018,0      634.720,0        6.848    2.302.336     760.881,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.289.152        127      112.513,0      107.584,0       67.872      174.784      35.955,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.208.480        128       64.128,0       62.368,0       51.200       69.120       4.285,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      107.125.600        127      843.508,0      639.232,0        6.816    2.193.472     742.261,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.234.784        127      112.084,0      108.160,0       67.712      173.408      35.347,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.175.264        128       63.869,0       62.544,0       51.168       68.672       4.482,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      108.058.368        127      850.853,0      619.488,0        6.976    2.291.872     754.390,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.248.832        127      112.195,0      105.408,0       67.648      173.984      35.936,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.160.512        128       63.754,0       62.352,0       51.072       68.416       4.081,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      109.052.096        127      858.677,0      610.496,0        6.976    2.302.816     764.062,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.341.088        127      112.922,0      107.872,0       67.968      180.288      36.516,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.227.520        128       64.277,0       63.568,0       51.168       69.600       4.125,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     22,0      103.244.928        127      812.952,0      608.480,0        6.816    1.989.728     697.509,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.036.736        127      110.525,0      105.984,0       68.128      171.296      32.680,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.098.656        128       63.270,0       62.912,0       50.336       69.184       4.875,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     23,0      106.925.056        127      841.929,0      619.232,0        7.040    2.170.080     733.023,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.176.192        127      111.623,0      107.680,0       67.904      173.568      34.820,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      1,0        8.167.936        128       63.812,0       64.688,0       51.168       68.768       4.524,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
