3,0 14.370.336 127 113.152,0 108.000,0 67.616 180.672 36.311,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.287.008 127 112.496,0 106.464,0 68.128 174.176 35.978,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.108.544 127 111.090,0 107.680,0 69.248 172.192 32.961,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.005.536 127 110.279,0 107.744,0 68.096 165.760 32.258,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.188.384 127 111.719,0 107.744,0 68.736 174.432 34.380,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.270.368 127 112.365,0 108.160,0 67.872 174.624 35.651,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.308.320 127 112.663,0 106.368,0 68.256 180.256 36.460,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.092.864 127 110.967,0 107.712,0 68.640 172.096 32.975,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.434.624 127 113.658,0 106.080,0 67.680 180.192 36.339,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 10.964.160 127 86.332,0 80.608,0 51.456 150.784 28.799,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.027.328 127 110.451,0 108.544,0 68.032 165.856 32.574,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.361.376 127 113.081,0 106.848,0 69.248 174.496 35.413,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.256.512 127 112.256,0 105.600,0 67.488 174.304 36.043,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.215.264 127 104.057,0 107.424,0 69.472 150.624 25.190,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.421.568 127 113.555,0 106.240,0 68.480 180.128 36.751,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.884.224 127 109.324,0 106.496,0 69.152 164.736 30.978,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 11.025.664 127 86.816,0 81.472,0 52.544 151.680 28.396,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.281.728 127 112.454,0 106.592,0 68.128 174.624 35.964,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.358.144 127 113.056,0 107.936,0 68.160 180.576 36.364,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 10.947.424 127 86.200,0 79.840,0 51.616 150.400 28.814,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.473.472 127 106.090,0 107.104,0 69.184 155.424 27.292,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.457.632 127 113.839,0 108.960,0 68.352 180.288 36.263,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.677.088 127 107.693,0 107.456,0 69.312 157.120 29.035,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.438.784 127 113.691,0 104.288,0 67.520 183.872 37.988,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.838.784 127 108.966,0 108.128,0 69.472 164.576 30.658,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.318.016 127 112.740,0 107.104,0 68.000 174.464 35.957,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.588.320 127 106.994,0 107.680,0 67.552 157.696 29.303,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.850.496 127 109.059,0 106.272,0 43.872 179.552 41.579,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.502.592 127 114.193,0 105.760,0 67.584 182.624 38.247,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.375.520 127 113.193,0 107.488,0 67.776 180.736 36.950,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.290.144 127 112.520,0 107.488,0 67.552 175.200 36.039,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.863.296 127 109.159,0 107.424,0 68.576 165.888 31.845,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 10.955.712 127 86.265,0 80.224,0 51.904 150.176 28.804,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.388.288 127 113.293,0 106.176,0 68.320 180.416 36.980,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.170.560 127 103.705,0 105.888,0 44.128 165.440 38.915,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 12.592.448 127 99.153,0 105.952,0 45.248 164.576 42.245,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.427.488 127 113.602,0 107.552,0 68.832 180.384 35.996,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.928.064 127 109.669,0 107.776,0 69.632 165.728 31.389,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.095.552 127 110.988,0 107.936,0 68.704 172.320 33.037,0 CUDA_KERNEL lud_perimeter(float *, int, int)
2,0 14.336.608 127 112.886,0 107.232,0 68.736 175.360 35.419,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.891.360 127 109.380,0 106.688,0 67.968 164.800 32.216,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.346.848 127 112.967,0 106.336,0 69.728 174.112 35.523,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.240.576 127 112.130,0 106.592,0 67.744 174.304 35.735,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.188.160 127 111.717,0 106.528,0 69.536 172.128 33.841,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.005.472 127 110.279,0 107.840,0 69.120 165.248 32.018,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 13.890.784 127 109.376,0 108.192,0 67.552 164.768 31.875,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 12.743.168 127 100.339,0 102.368,0 68.736 150.656 22.388,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.306.528 127 112.649,0 108.928,0 67.712 175.104 35.915,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.212.928 127 111.912,0 106.240,0 68.352 174.880 35.128,0 CUDA_KERNEL lud_perimeter(float *, int, int)
