0,0 3.164.640 9 351.626,0 363.072,0 222.272 438.016 72.041,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.952.416 9 328.046,0 343.104,0 61.056 441.856 109.828,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.280.320 9 364.480,0 367.520,0 174.624 439.968 81.110,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.688.096 9 409.788,0 407.936,0 318.048 516.544 64.363,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.306.400 9 367.377,0 387.872,0 262.240 470.400 69.809,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.904.992 9 322.776,0 322.592,0 133.120 469.472 100.934,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.555.328 9 395.036,0 389.280,0 294.400 493.280 72.292,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.504.704 9 389.411,0 368.256,0 324.992 477.312 45.984,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.527.200 9 391.911,0 418.976,0 165.952 498.304 99.298,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.112.192 9 345.799,0 357.024,0 119.456 499.648 110.973,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 5.144.192 9 571.576,0 464.064,0 296.256 848.672 233.389,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.447.968 9 383.107,0 399.872,0 210.368 458.080 76.570,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.094.848 9 343.872,0 369.216,0 169.888 443.840 86.319,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.167.744 9 351.971,0 365.952,0 238.176 424.832 55.343,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.316.032 9 368.448,0 365.824,0 52.416 490.560 135.090,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.246.592 9 360.732,0 391.200,0 195.200 466.880 97.374,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.803.776 9 311.530,0 339.584,0 28.736 449.472 136.944,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.798.304 9 310.922,0 390.816,0 98.624 482.720 154.994,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.030.720 9 336.746,0 398.624,0 47.744 447.168 138.468,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.878.400 9 430.933,0 409.920,0 339.200 549.696 68.906,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.800.384 9 422.264,0 429.024,0 269.760 505.568 73.862,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 2.777.984 9 308.664,0 325.408,0 153.600 399.968 81.512,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.218.752 9 357.639,0 358.528,0 238.336 461.152 67.733,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 6.456.608 9 717.400,0 770.400,0 373.536 923.456 194.374,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.142.624 9 349.180,0 341.824,0 192.992 460.928 78.653,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 4.565.536 9 507.281,0 425.824,0 121.856 885.920 240.458,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.339.136 9 371.015,0 365.984,0 196.768 471.904 80.773,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.534.176 9 392.686,0 403.904,0 201.632 460.160 77.621,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
1,0 3.210.144 9 356.682,0 390.400,0 37.760 477.728 128.881,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
0,0 3.014.048 9 334.894,0 294.112,0 246.784 441.120 74.874,0 CUDA_KERNEL find_index_kernel(double *, double *, double *, double *, double *, double *, double *, int)
