17,0 58.129.504 9 6.458.833,0 6.459.392,0 6.451.456 6.469.024 5.704,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.055.424 9 6.450.602,0 6.458.176,0 6.403.776 6.467.200 20.233,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.024.288 9 6.558.254,0 6.558.208,0 6.546.752 6.566.848 7.320,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 101.483.136 9 11.275.904,0 12.906.272,0 6.537.824 14.824.640 3.071.614,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
16,0 58.128.608 9 6.458.734,0 6.457.888,0 6.452.672 6.468.800 4.406,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.094.752 9 6.454.972,0 6.457.696,0 6.440.448 6.465.824 7.784,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
23,0 106.024.416 9 11.780.490,0 12.913.888,0 6.552.576 12.934.144 2.340.017,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.093.088 9 6.454.787,0 6.456.480,0 6.437.632 6.466.624 8.065,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.507.520 9 6.500.835,0 6.468.800,0 6.447.712 6.572.672 53.995,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.219.808 9 6.579.978,0 6.455.296,0 6.445.216 7.591.104 379.201,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 58.108.128 9 6.456.458,0 6.454.144,0 6.450.176 6.468.352 6.404,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
17,0 59.253.920 9 6.583.768,0 6.619.648,0 6.451.392 6.702.976 120.418,0 CUDA_KERNEL likelihood_kernel(double *, double *, double *, double *, double *, int *, int *, double *, unsigne…
