23.2 113169600 127 891099.2 616672.0 8640 2662496 822984.5 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113015872 127 889888.8 641792.0 8032 2654080 822085.1 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113005344 127 889805.9 615968.0 8096 2654560 822619.3 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113218016 127 891480.4 663872.0 8672 2661056 821983.4 CUDA_KERNEL lud_internal(float *, int, int)
23.1 112929152 127 889205.9 624288.0 8064 2652960 818893.4 CUDA_KERNEL lud_internal(float *, int, int)
22.7 103843712 127 817667.0 454176.0 6304 2665152 839243.6 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113794688 127 896021.2 638560.0 7936 2713760 828557.9 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113744128 127 895623.1 642176.0 8416 2703968 826246.2 CUDA_KERNEL lud_internal(float *, int, int)
23.1 112880096 127 888819.7 635168.0 8416 2660352 820939.5 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113581408 127 894341.8 637184.0 8032 2672832 825019.3 CUDA_KERNEL lud_internal(float *, int, int)
22.2 99163968 127 780818.6 395232.0 4928 2694560 842880.5 CUDA_KERNEL lud_internal(float *, int, int)
21.6 93624224 127 737198.6 398816.0 4736 2672672 819066.6 CUDA_KERNEL lud_internal(float *, int, int)
21.7 94265120 127 742245.0 396864.0 4992 2680256 821977.7 CUDA_KERNEL lud_internal(float *, int, int)
20.6 80799648 127 636217.7 458912.0 6432 1895488 580500.0 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113688928 127 895188.4 637312.0 6848 2671264 825098.0 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113651008 127 894889.8 643136.0 8096 2665536 825550.4 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113200096 127 891339.3 622816.0 8672 2663744 820251.4 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113962048 127 897339.0 646656.0 8256 2697632 826284.0 CUDA_KERNEL lud_internal(float *, int, int)
21.6 95124480 127 749011.7 394272.0 4640 2683872 826819.8 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113776416 127 895877.3 627296.0 8544 2705088 826826.3 CUDA_KERNEL lud_internal(float *, int, int)
23.4 111542848 127 878290.1 390848.0 4896 4860864 996376.7 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113465536 127 893429.4 629024.0 8640 2698720 822414.0 CUDA_KERNEL lud_internal(float *, int, int)
19.8 71373824 127 561998.6 336416.0 4160 1898272 575100.9 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112994720 127 889722.2 636736.0 6816 2665120 821798.2 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113210336 127 891420.0 633376.0 8000 2650304 820532.0 CUDA_KERNEL lud_internal(float *, int, int)
19.3 72249024 127 568890.0 342880.0 4608 1894304 581233.6 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113802432 127 896082.1 640736.0 8416 2709376 825990.7 CUDA_KERNEL lud_internal(float *, int, int)
18.6 60096032 127 473197.1 344672.0 4480 1412672 438262.0 CUDA_KERNEL lud_internal(float *, int, int)
22.7 113762304 127 895766.2 632448.0 7328 2714592 826293.7 CUDA_KERNEL lud_internal(float *, int, int)
22.8 112835776 127 888470.7 621600.0 7936 2648384 821257.9 CUDA_KERNEL lud_internal(float *, int, int)
23.4 110678112 127 871481.2 609632.0 4960 2682688 840830.9 CUDA_KERNEL lud_internal(float *, int, int)
22.1 98830176 127 778190.4 377792.0 4896 2659808 838610.5 CUDA_KERNEL lud_internal(float *, int, int)
23.4 118482368 127 932932.0 647872.0 8096 4983680 934818.9 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113782240 127 895923.1 626976.0 8000 2684960 827397.0 CUDA_KERNEL lud_internal(float *, int, int)
23.1 112775456 127 887995.7 624000.0 8160 2686720 821940.3 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112724672 127 887595.8 639328.0 8416 2660640 818467.1 CUDA_KERNEL lud_internal(float *, int, int)
22.3 100168736 127 788730.2 396992.0 4864 2676256 842730.5 CUDA_KERNEL lud_internal(float *, int, int)
22.9 107673376 127 847821.9 432096.0 5152 2666432 845770.5 CUDA_KERNEL lud_internal(float *, int, int)
21.8 95132192 127 749072.4 411008.0 4896 2692608 826017.2 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113195072 127 891299.8 657344.0 8224 2681728 823333.6 CUDA_KERNEL lud_internal(float *, int, int)
22.4 101255552 127 797287.8 404256.0 5056 2676864 845406.4 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113537984 127 893999.9 625792.0 8032 2689344 826049.6 CUDA_KERNEL lud_internal(float *, int, int)
22.8 112648224 127 886993.9 625984.0 8480 2658368 819275.4 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113018048 127 889905.9 621088.0 8000 2675616 821440.5 CUDA_KERNEL lud_internal(float *, int, int)
22.5 101383968 127 798299.0 390880.0 5088 2672416 847071.0 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112966944 127 889503.5 608224.0 7808 2672896 820085.7 CUDA_KERNEL lud_internal(float *, int, int)
21.4 91610112 127 721339.5 393280.0 4800 2699552 807260.9 CUDA_KERNEL lud_internal(float *, int, int)
22.1 97677344 127 769112.9 381568.0 4864 2672352 836318.1 CUDA_KERNEL lud_internal(float *, int, int)
23.0 107204800 127 844132.3 458112.0 4992 2656544 851208.9 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113781984 127 895921.1 631296.0 7456 2674656 823955.0 CUDA_KERNEL lud_internal(float *, int, int)
21.5 92899168 127 731489.5 441760.0 4608 2673088 791814.7 CUDA_KERNEL lud_internal(float *, int, int)
22.9 103998880 127 818888.8 382752.0 4992 4603584 973965.5 CUDA_KERNEL lud_internal(float *, int, int)
19.9 82308256 127 648096.5 462208.0 6176 2566688 618484.7 CUDA_KERNEL lud_internal(float *, int, int)
23.7 120189440 127 946373.5 766336.0 7968 3008896 864371.5 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113376832 127 892731.0 638176.0 7840 2676992 825087.2 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113561824 127 894187.6 647712.0 5664 2683136 828526.7 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113452256 127 893324.9 635584.0 8480 2666464 824149.2 CUDA_KERNEL lud_internal(float *, int, int)
22.8 106570176 127 839135.2 474592.0 4864 2643968 849952.5 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113062784 127 890258.1 637472.0 8160 2686880 823022.9 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113553152 127 894119.3 641856.0 8064 2680960 825151.6 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113570144 127 894253.1 646240.0 6912 2684992 825111.9 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112918880 127 889125.0 640000.0 8032 2659776 821593.4 CUDA_KERNEL lud_internal(float *, int, int)
23.2 113466144 127 893434.2 654432.0 8512 2695552 824650.8 CUDA_KERNEL lud_internal(float *, int, int)
22.7 102439936 127 806613.7 409184.0 4928 2690496 851875.6 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113551712 127 894108.0 654272.0 8224 2683264 825923.3 CUDA_KERNEL lud_internal(float *, int, int)
22.3 102275232 127 805316.8 407680.0 4928 2673440 848397.5 CUDA_KERNEL lud_internal(float *, int, int)
23.8 120270880 127 947014.8 673664.0 8000 4142112 932663.2 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112877120 127 888796.2 641440.0 8320 2667936 820717.6 CUDA_KERNEL lud_internal(float *, int, int)
23.3 112182048 127 883323.2 644896.0 5312 2683648 839304.7 CUDA_KERNEL lud_internal(float *, int, int)
21.1 91744320 127 722396.2 407616.0 4544 2652064 798387.1 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112925280 127 889175.4 627072.0 8032 2681728 822436.3 CUDA_KERNEL lud_internal(float *, int, int)
22.9 112934016 127 889244.2 637440.0 8672 2658560 820333.8 CUDA_KERNEL lud_internal(float *, int, int)
22.2 99371232 127 782450.6 403456.0 4960 2714592 843543.6 CUDA_KERNEL lud_internal(float *, int, int)
23.0 112728864 127 887628.9 623616.0 5376 2682624 824162.6 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113344096 127 892473.2 643840.0 8032 2670080 824374.5 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113222784 127 891518.0 654912.0 8544 2675040 824043.5 CUDA_KERNEL lud_internal(float *, int, int)
23.2 109595456 127 862956.3 601472.0 6304 2662144 835690.6 CUDA_KERNEL lud_internal(float *, int, int)
23.0 108699328 127 855900.2 601088.0 4992 2691776 846040.0 CUDA_KERNEL lud_internal(float *, int, int)
23.0 113620544 127 894650.0 638208.0 8032 2673088 825923.9 CUDA_KERNEL lud_internal(float *, int, int)
22.9 113442272 127 893246.2 643552.0 8704 2688896 823640.3 CUDA_KERNEL lud_internal(float *, int, int)
21.2 90304640 127 711060.2 383008.0 5056 2667968 793946.6 CUDA_KERNEL lud_internal(float *, int, int)
23.2 109356256 127 861072.9 596768.0 4960 2645920 841601.9 CUDA_KERNEL lud_internal(float *, int, int)
23.1 113131008 127 890795.3 626176.0 8000 2664320 821466.0 CUDA_KERNEL lud_internal(float *, int, int)
22.7 113044864 127 890117.0 636576.0 7968 2669216 821671.7 CUDA_KERNEL lud_internal(float *, int, int)
23.0 109298336 127 860616.8 591328.0 4864 2673472 843790.9 CUDA_KERNEL lud_internal(float *, int, int)
