47,0 918.656.192 10 91.865.619,0 91.601.776,0 86.813.376 98.501.952 3.221.227,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 949.020.800 10 94.902.080,0 92.199.712,0 86.802.112 119.372.768 9.094.508,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.186.757.088 10 118.675.708,0 94.025.984,0 85.716.448 186.893.344 44.015.891,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.500.378.112 10 150.037.811,0 140.991.792,0 86.847.104 233.705.056 62.486.833,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 918.864.032 10 91.886.403,0 91.652.464,0 86.906.944 98.462.880 3.248.631,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 972.098.848 10 97.209.884,0 93.308.576,0 86.733.728 136.104.768 14.056.428,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 963.275.072 10 96.327.507,0 92.198.000,0 86.848.512 138.536.768 14.979.102,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.034.560 10 94.503.456,0 91.962.240,0 86.633.024 118.403.136 8.753.885,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 920.810.656 10 92.081.065,0 91.670.880,0 86.913.088 98.496.192 3.039.414,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 955.542.720 10 95.554.272,0 92.541.824,0 86.817.216 122.618.912 9.999.575,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 958.480.480 10 95.848.048,0 92.614.576,0 85.508.992 135.209.696 14.110.546,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 966.826.848 10 96.682.684,0 93.709.856,0 87.017.792 129.729.088 12.057.982,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.281.574.400 10 128.157.440,0 92.065.696,0 88.814.592 203.192.736 48.691.686,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 955.263.296 10 95.526.329,0 92.934.304,0 86.732.352 120.114.368 9.223.423,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.020.566.080 10 102.056.608,0 94.007.200,0 86.947.392 158.480.928 20.914.288,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 973.704.384 10 97.370.438,0 92.473.936,0 86.791.328 139.549.856 15.163.604,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 962.409.472 10 96.240.947,0 91.523.200,0 85.715.520 138.417.024 15.153.671,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 964.678.240 10 96.467.824,0 92.266.112,0 86.696.480 131.210.400 12.626.441,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.011.907.008 10 101.190.700,0 91.745.584,0 86.793.184 185.043.296 29.638.638,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
45,0 1.036.854.656 10 103.685.465,0 92.504.720,0 86.920.480 194.834.496 32.341.332,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 946.008.736 10 94.600.873,0 92.119.680,0 86.795.936 115.898.560 8.073.955,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 972.380.800 10 97.238.080,0 92.951.056,0 86.849.760 117.750.400 10.009.931,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 934.950.176 10 93.495.017,0 91.052.272,0 85.806.976 115.093.472 8.151.909,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 922.663.264 10 92.266.326,0 91.781.952,0 86.997.824 98.605.568 3.070.019,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 993.947.680 10 99.394.768,0 93.752.304,0 86.696.320 150.998.976 18.620.091,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.015.525.888 10 101.552.588,0 97.022.416,0 86.719.872 137.231.200 14.248.231,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 969.199.616 10 96.919.961,0 93.788.848,0 86.908.096 118.220.000 9.574.646,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 958.647.392 10 95.864.739,0 92.107.984,0 86.959.680 110.924.736 8.208.356,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 981.584.640 10 98.158.464,0 92.199.152,0 86.658.656 136.117.024 14.403.323,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 947.397.920 10 94.739.792,0 92.350.704,0 86.946.400 113.352.672 7.276.731,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 958.434.400 10 95.843.440,0 92.233.968,0 86.920.000 130.493.056 12.410.443,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 945.339.328 10 94.533.932,0 92.091.536,0 86.656.448 115.591.200 7.857.343,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
