0.4 702464 1 702464.0 702464.0 702464 702464 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 694592 1 694592.0 694592.0 694592 694592 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 686880 1 686880.0 686880.0 686880 686880 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 696640 1 696640.0 696640.0 696640 696640 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 684128 1 684128.0 684128.0 684128 684128 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 695968 1 695968.0 695968.0 695968 695968 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 687168 1 687168.0 687168.0 687168 687168 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 694816 1 694816.0 694816.0 694816 694816 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 691968 1 691968.0 691968.0 691968 691968 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 541696 1 541696.0 541696.0 541696 541696 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701952 1 701952.0 701952.0 701952 701952 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 549568 1 549568.0 549568.0 549568 549568 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 692000 1 692000.0 692000.0 692000 692000 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 701888 1 701888.0 701888.0 701888 701888 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 664416 1 664416.0 664416.0 664416 664416 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 687584 1 687584.0 687584.0 687584 687584 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698688 1 698688.0 698688.0 698688 698688 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 684608 1 684608.0 684608.0 684608 684608 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.3 522496 1 522496.0 522496.0 522496 522496 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 684576 1 684576.0 684576.0 684576 684576 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698496 1 698496.0 698496.0 698496 698496 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 698240 1 698240.0 698240.0 698240 698240 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0.4 700896 1 700896.0 700896.0 700896 700896 0.0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
