0.1 212672 3 70890.7 69824.0 69248 73600 2364.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212960 3 70986.7 70464.0 68768 73728 2521.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213248 3 71082.7 69792.0 68736 74720 3194.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213344 3 71114.7 69664.0 69504 74176 2652.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212064 3 70688.0 69760.0 68736 73568 2546.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212704 3 70901.3 69280.0 68896 74528 3146.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213568 3 71189.3 70208.0 68736 74624 3064.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213920 3 71306.7 70816.0 68640 74464 2942.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214816 3 71605.3 70912.0 69760 74144 2272.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213120 3 71040.0 70368.0 68736 74016 2703.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214016 3 71338.7 70592.0 69024 74400 2764.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212704 3 70901.3 70464.0 68704 73536 2445.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212576 3 70858.7 69472.0 69248 73856 2598.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213824 3 71274.7 70880.0 68832 74112 2662.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212416 3 70805.3 69984.0 68800 73632 2518.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213664 3 71221.3 70688.0 68768 74208 2758.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212096 3 70698.7 69888.0 68704 73504 2500.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214272 3 71424.0 70816.0 68800 74656 2975.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213824 3 71274.7 70144.0 68736 74944 3254.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212576 3 70858.7 69856.0 69184 73536 2342.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212608 3 70869.3 69888.0 68768 73952 2727.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213856 3 71285.3 70656.0 68704 74496 2946.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214336 3 71445.3 69600.0 69568 75168 3224.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213024 3 71008.0 69600.0 68736 74688 3216.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212448 3 70816.0 69760.0 69024 73664 2493.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213152 3 71050.7 70336.0 68608 74208 2867.6 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214944 3 71648.0 70720.0 69568 74656 2667.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214400 3 71466.7 70944.0 69696 73760 2081.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 159360 3 53120.0 52896.0 51488 54976 1754.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212768 3 70922.7 69952.0 69376 73440 2199.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213952 3 71317.3 70144.0 68640 75168 3418.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 111104 3 37034.7 35840.0 35584 39680 2294.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214688 3 71562.7 70624.0 69728 74336 2443.2 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214720 3 71573.3 70944.0 69280 74496 2664.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212608 3 70869.3 70240.0 68640 73728 2601.7 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213216 3 71072.0 69824.0 68736 74656 3151.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 214688 3 71562.7 71040.0 69024 74624 2836.4 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213152 3 71050.7 69824.0 68704 74624 3144.9 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213184 3 71061.3 69952.0 68672 74560 3096.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212832 3 70944.0 70496.0 68672 73664 2526.0 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213184 3 71061.3 70304.0 68704 74176 2813.5 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213472 3 71157.3 70272.0 68704 74496 2995.8 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213504 3 71168.0 70240.0 68704 74560 3036.3 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 213248 3 71082.7 69984.0 69056 74208 2746.1 CUDA_KERNEL lud_perimeter(float *, int, int)
0.1 212512 3 70837.3 69792.0 68640 74080 2866.7 CUDA_KERNEL lud_perimeter(float *, int, int)
