0.1 256448 4 64112.0 62864.0 62240 68480 2927.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256512 4 64128.0 63200.0 62560 67552 2302.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256448 4 64112.0 63088.0 62368 67904 2551.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256224 4 64056.0 62784.0 62240 68416 2951.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254944 4 63736.0 62608.0 62304 67424 2472.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256992 4 64248.0 63008.0 62368 68608 2926.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255904 4 63976.0 62608.0 62336 68352 2920.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256544 4 64136.0 62896.0 62400 68352 2824.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255392 4 63848.0 62848.0 62368 67328 2359.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254464 4 63616.0 62352.0 62304 67456 2560.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256416 4 64104.0 62848.0 62336 68384 2886.8 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 258080 4 64520.0 63104.0 62400 69472 3319.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257600 4 64400.0 63056.0 62496 68992 3073.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62720.0 62400 68096 2755.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256608 4 64152.0 63056.0 62368 68128 2672.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256224 4 64056.0 62752.0 62336 68384 2901.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256416 4 64104.0 63120.0 62368 67808 2502.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255424 4 63856.0 62336.0 62304 68448 3061.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255232 4 63808.0 62320.0 62272 68320 3008.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256384 4 64096.0 62752.0 62336 68544 2985.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255840 4 63960.0 62592.0 62336 68320 2909.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 191264 4 47816.0 46864.0 46720 50816 2001.2 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257952 4 64488.0 63152.0 62912 68736 2834.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255488 4 63872.0 62848.0 62368 67424 2410.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 132128 4 33032.0 32144.0 31584 36256 2174.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255456 4 63864.0 62704.0 62304 67744 2610.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255584 4 63896.0 62656.0 62304 67968 2719.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255872 4 63968.0 62704.0 62304 68160 2812.0 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257120 4 64280.0 63008.0 62400 68704 2963.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255200 4 63800.0 62544.0 62368 67744 2631.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256352 4 64088.0 62832.0 62368 68320 2851.7 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256096 4 64024.0 62464.0 62336 68832 3205.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254720 4 63680.0 62368.0 62336 67648 2645.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255008 4 63752.0 62352.0 62304 68000 2832.1 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257024 4 64256.0 63168.0 62656 68032 2529.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256288 4 64072.0 63152.0 62336 67648 2414.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255840 4 63960.0 62496.0 62336 68512 3037.4 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255392 4 63848.0 62656.0 62368 67712 2590.3 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 254528 4 63632.0 62368.0 62336 67456 2549.5 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 255936 4 63984.0 62512.0 62304 68608 3087.6 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 256256 4 64064.0 62720.0 62272 68544 3007.9 CUDA_KERNEL lud_diagonal(float *, int, int)
0.1 257152 4 64288.0 63040.0 62368 68704 2961.1 CUDA_KERNEL lud_diagonal(float *, int, int)
