      0.0            29760          3       9920.0       9440.0       8608      11712       1606.7  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257376          4      64344.0      63152.0      62272      68800       3001.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212896          3      70965.3      70208.0      68640      74048       2782.4  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28928          3       9642.7       8832.0       8672      11424       1544.8  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255936          4      63984.0      62656.0      62336      68288       2885.2  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214976          3      71658.7      70464.0      69120      75392       3302.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29536          3       9845.3       9920.0       8448      11168       1361.5  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256544          4      64136.0      63136.0      62400      67872       2514.9  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213184          3      71061.3      69888.0      68928      74368       2903.6  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29120          3       9706.7       9440.0       8000      11680       1854.4  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256000          4      64000.0      62752.0      62304      68192       2826.4  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213504          3      71168.0      69696.0      69024      74784       3149.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29088          3       9696.0       9760.0       8000      11328       1664.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256128          4      64032.0      62608.0      62368      68544       3016.5  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212864          3      70954.7      69504.0      69216      74144       2765.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            30016          3      10005.3      10080.0       8128      11808       1841.1  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254752          4      63688.0      62384.0      62336      67648       2640.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214144          3      71381.3      70912.0      69536      73696       2119.3  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29408          3       9802.7      10080.0       8032      11296       1649.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257568          4      64392.0      63120.0      62304      69024       3112.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213408          3      71136.0      70016.0      68864      74528       2993.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28992          3       9664.0       9536.0       8000      11456       1731.6  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           258144          4      64536.0      63120.0      62912      68992       2973.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213536          3      71178.7      70048.0      68640      74848       3254.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29088          3       9696.0       9472.0       7936      11680       1882.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           255488          4      63872.0      62704.0      62304      67776       2629.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213120          3      71040.0      70016.0      68768      74336       2921.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28896          3       9632.0       9312.0       8384      11200       1435.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           254304          4      63576.0      62336.0      62272      67360       2522.8  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213728          3      71242.7      70272.0      68736      74720       3107.8  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28224          3       9408.0       8608.0       8192      11424       1758.3  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257152          4      64288.0      62912.0      62304      69024       3170.3  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214176          3      71392.0      70816.0      68736      74624       2986.0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28800          3       9600.0       9504.0       8512      10784       1139.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           257664          4      64416.0      63312.0      62400      68640       2848.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           213696          3      71232.0      69888.0      69120      74688       3017.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            28704          3       9568.0       9632.0       7904      11168       1632.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256128          4      64032.0      62624.0      62336      68544       3015.1  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           212896          3      70965.3      69408.0      68736      74752       3296.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29408          3       9802.7       9568.0       8640      11200       1296.0  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256320          4      64080.0      63104.0      62336      67776       2491.0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
      0.1           214848          3      71616.0      70720.0      69728      74400       2461.5  CUDA_KERNEL  lud_perimeter(float *, int, int)
      0.0            29408          3       9802.7       9216.0       8672      11520       1511.9  CUDA_KERNEL  lud_internal(float *, int, int) 
      0.1           256064          4      64016.0      62848.0      62368      68000       2665.7  CUDA_KERNEL  lud_diagonal(float *, int, int) 
