37,0 112.838.976 127 888.495,0 600.704,0 6.784 2.684.256 825.538,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.451.712 127 885.446,0 616.192,0 4.960 2.680.416 826.718,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.677.856 127 895.101,0 633.728,0 6.720 2.670.432 825.274,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.235.872 127 891.621,0 643.392,0 6.720 2.673.952 823.932,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.411.744 127 885.131,0 609.440,0 6.784 2.682.976 822.920,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.114.656 127 835.548,0 453.088,0 6.048 2.682.784 838.990,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.131.840 127 875.053,0 593.472,0 5.312 2.671.616 832.542,0 CUDA_KERNEL lud_internal(float *, int, int)
36,0 113.614.496 127 894.602,0 658.048,0 8.480 2.664.640 825.827,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.428.320 127 893.136,0 628.192,0 8.256 2.691.520 825.073,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.216.160 127 883.591,0 601.216,0 6.784 2.684.928 825.535,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.724.448 127 895.468,0 609.184,0 6.720 2.714.016 831.103,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 104.876.992 127 825.803,0 458.496,0 4.992 2.702.368 845.168,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.017.280 127 889.899,0 615.040,0 6.976 2.670.464 825.691,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 105.934.944 127 834.133,0 443.200,0 5.088 2.699.360 846.054,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.105.856 127 859.101,0 600.864,0 5.056 2.707.488 844.218,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.812.640 127 848.918,0 613.344,0 4.928 2.691.744 841.316,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.640.608 127 886.933,0 609.504,0 6.816 2.663.648 826.066,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.908.256 127 896.915,0 641.728,0 6.688 2.693.088 825.231,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.327.840 127 892.345,0 639.968,0 6.816 2.677.824 824.617,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.454.432 127 885.468,0 600.192,0 7.040 2.686.816 826.737,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.356.864 127 892.573,0 640.192,0 6.720 2.688.384 825.183,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.015.040 127 882.008,0 607.008,0 5.504 2.649.920 825.657,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 107.532.960 127 846.716,0 610.592,0 5.024 2.694.624 839.721,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.364.608 127 876.886,0 601.088,0 5.536 2.669.920 829.779,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.487.072 127 885.725,0 609.088,0 6.848 2.685.344 824.841,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.449.504 127 877.555,0 611.584,0 5.376 2.696.640 830.542,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 111.483.968 127 877.826,0 601.504,0 5.408 2.645.024 828.965,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.870.304 127 888.742,0 596.032,0 6.976 2.671.584 826.098,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.275.072 127 836.811,0 465.280,0 6.112 2.689.952 838.101,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.434.656 127 885.312,0 607.520,0 5.536 2.715.040 828.581,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.652.224 127 894.899,0 633.504,0 7.776 2.681.056 823.723,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.840.000 127 896.378,0 639.200,0 8.000 2.690.880 823.346,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.055.296 127 890.199,0 604.672,0 6.880 2.685.632 828.802,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.863.424 127 888.688,0 604.832,0 6.784 2.677.056 824.707,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.261.312 127 883.947,0 592.224,0 6.752 2.697.536 826.359,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.007.552 127 850.453,0 472.960,0 4.864 2.686.176 844.672,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.978.208 127 897.466,0 643.872,0 6.784 2.679.840 828.375,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.478.688 127 893.533,0 626.624,0 8.160 2.668.160 821.209,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.488.960 127 893.613,0 638.656,0 7.904 2.691.744 823.784,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 113.116.352 127 890.679,0 607.872,0 6.976 2.666.720 827.402,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 109.949.984 127 865.747,0 609.632,0 5.280 2.691.712 836.429,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 108.970.880 127 858.038,0 616.864,0 5.408 2.702.912 837.920,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.059.072 127 882.354,0 607.072,0 5.824 2.660.768 826.564,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 112.657.888 127 887.070,0 594.496,0 5.632 2.678.400 826.219,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 106.281.536 127 836.862,0 461.344,0 4.896 2.679.616 847.030,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 110.274.592 127 868.303,0 611.424,0 5.376 2.661.984 837.067,0 CUDA_KERNEL lud_internal(float *, int, int)
