2,0 7.100.512 128 55.472,0 65.696,0 38.656 71.584 13.801,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.389.120 128 65.540,0 66.912,0 62.272 70.528 2.734,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.123.072 128 63.461,0 65.664,0 39.200 71.552 6.867,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.361.856 128 49.702,0 40.912,0 38.080 70.496 13.325,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.583.648 128 51.434,0 43.488,0 39.488 71.264 12.797,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.642.944 128 59.710,0 65.232,0 39.040 71.968 11.238,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.872.544 128 61.504,0 65.872,0 40.128 70.464 9.390,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.378.144 128 57.641,0 65.696,0 39.072 71.584 12.350,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.273.184 128 64.634,0 63.872,0 61.184 71.648 3.027,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.502.464 128 58.613,0 64.032,0 38.624 71.520 11.949,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.065.696 128 55.200,0 64.080,0 38.496 71.840 13.723,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.354.016 128 65.265,0 67.664,0 61.280 70.656 3.056,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.649.792 128 51.951,0 42.976,0 38.016 71.168 13.988,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.111.552 128 55.559,0 49.600,0 46.720 71.488 9.700,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.407.168 128 65.681,0 67.184,0 62.272 70.720 2.591,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.869.856 128 61.483,0 64.304,0 38.976 71.360 9.664,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.274.752 128 64.646,0 65.728,0 61.152 72.288 3.145,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.775.008 128 52.929,0 44.288,0 39.648 71.168 13.323,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.316.064 128 64.969,0 65.904,0 61.280 71.808 3.019,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.327.776 128 65.060,0 65.104,0 61.216 70.368 2.987,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.729.248 128 60.384,0 66.064,0 39.744 70.464 10.527,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.656.768 128 52.006,0 41.536,0 38.048 70.912 13.911,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.404.064 128 65.656,0 66.768,0 62.336 71.488 2.444,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.413.376 128 65.729,0 66.768,0 62.304 71.200 2.556,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.399.904 128 65.624,0 67.120,0 62.336 70.624 2.635,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.970.112 128 54.454,0 65.408,0 39.520 71.744 13.567,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.940.608 128 54.223,0 64.816,0 38.048 71.424 14.164,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.980.320 128 54.533,0 64.112,0 38.240 71.488 13.929,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.790.272 128 53.049,0 42.320,0 38.176 71.680 14.198,0 CUDA_KERNEL lud_diagonal(float *, int, int)
