4,0 14.576.288 127 114.773,0 104.864,0 68.288 204.928 39.602,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.883.552 127 101.445,0 80.064,0 52.000 203.904 47.325,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.606.816 127 107.140,0 104.896,0 43.232 203.840 48.168,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.676.736 127 115.564,0 108.384,0 68.736 203.904 38.780,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.676.192 127 115.560,0 108.352,0 69.312 205.024 38.821,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.572.256 127 114.742,0 105.408,0 68.064 203.744 39.321,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.602.688 127 114.981,0 105.376,0 67.968 204.480 39.458,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.293.888 127 96.802,0 70.208,0 44.384 204.384 51.292,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.580.800 127 114.809,0 105.472,0 68.288 203.072 39.355,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.397.472 127 97.617,0 69.728,0 42.048 203.904 52.254,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.006.912 127 102.416,0 105.056,0 42.912 203.840 51.238,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.949.088 127 101.961,0 106.624,0 43.584 204.992 51.367,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.590.368 127 114.884,0 106.240,0 68.160 205.984 39.383,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.651.840 127 115.368,0 107.488,0 68.096 205.408 39.145,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.612.992 127 115.062,0 108.192,0 67.648 205.152 39.321,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.570.144 127 114.725,0 106.784,0 68.096 204.224 39.381,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.610.976 127 115.047,0 108.384,0 67.584 204.448 39.341,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.370.976 127 113.157,0 106.272,0 43.584 204.864 41.529,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.821.280 127 100.955,0 104.864,0 43.584 204.544 51.631,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.783.488 127 108.531,0 105.728,0 43.584 204.384 46.840,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.587.360 127 114.861,0 106.112,0 68.448 207.424 39.433,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.760.160 127 108.347,0 106.720,0 43.680 204.064 47.261,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.771.936 127 108.440,0 105.088,0 43.552 205.184 47.157,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.574.720 127 114.761,0 106.048,0 67.904 203.392 39.262,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 12.918.656 127 101.721,0 80.544,0 51.552 203.232 47.383,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.212.096 127 111.906,0 105.440,0 42.944 203.296 42.965,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.695.968 127 115.716,0 106.944,0 68.704 205.056 38.850,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.690.592 127 115.674,0 107.168,0 68.768 204.576 38.644,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.568.416 127 114.711,0 105.824,0 68.064 203.968 39.289,0 CUDA_KERNEL lud_perimeter(float *, int, int)
