7,0 14.069.888 200 70.349,0 70.112,0 21.728 119.968 48.543,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.888.032 200 74.440,0 73.552,0 25.984 124.064 48.189,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.295.680 200 71.478,0 71.200,0 21.440 122.080 49.685,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.245.312 200 111.226,0 92.976,0 25.600 238.176 83.180,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.277.920 200 71.389,0 71.072,0 21.792 121.760 49.163,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 24.848.896 200 124.244,0 98.704,0 27.264 239.456 89.996,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.034.720 200 70.173,0 69.904,0 21.344 120.192 48.709,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.025.600 200 120.128,0 98.400,0 28.576 236.800 86.853,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 18.293.184 200 91.465,0 81.760,0 22.240 177.408 64.292,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 22.743.552 200 113.717,0 96.240,0 27.424 243.008 84.275,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4,0 13.892.608 200 69.463,0 69.264,0 21.408 120.288 48.038,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.056.704 200 70.283,0 69.728,0 21.600 120.288 48.651,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.242.976 200 106.214,0 96.560,0 27.296 234.240 78.679,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.067.296 200 70.336,0 69.936,0 21.728 120.096 48.612,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.424.320 200 112.121,0 83.680,0 22.304 234.848 83.875,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.063.520 200 70.317,0 70.176,0 21.504 120.256 48.779,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.981.088 200 104.905,0 83.600,0 22.528 234.880 79.289,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 14.276.960 200 71.384,0 71.216,0 21.728 121.888 49.366,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.081.952 200 70.409,0 70.144,0 21.760 120.320 48.608,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 24.031.008 200 120.155,0 108.816,0 32.256 235.008 85.522,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 15.694.240 200 78.471,0 75.232,0 22.656 143.360 54.649,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.278.336 200 106.391,0 94.224,0 26.368 235.328 79.536,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.061.568 200 70.307,0 70.096,0 21.504 119.904 48.750,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.553.856 200 107.769,0 84.016,0 22.496 234.784 82.463,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.051.424 200 70.257,0 69.664,0 21.568 119.936 48.688,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 19.070.144 200 95.350,0 87.968,0 26.112 175.808 66.552,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 14.079.168 200 70.395,0 69.648,0 21.664 119.936 48.660,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
6,0 21.497.568 200 107.487,0 84.800,0 22.752 235.392 82.868,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 20.680.544 200 103.402,0 83.472,0 22.368 234.752 78.512,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 22.011.936 200 110.059,0 83.696,0 22.464 235.584 84.570,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.381.504 200 106.907,0 83.760,0 22.592 235.616 80.769,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5,0 13.920.736 200 69.603,0 69.232,0 21.536 120.128 48.009,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 20.788.736 200 103.943,0 84.080,0 22.624 235.008 78.661,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
8,0 13.877.696 200 69.388,0 68.912,0 21.472 118.176 47.848,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 23.326.240 200 116.631,0 96.560,0 27.328 234.656 85.584,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
7,0 21.589.984 200 107.949,0 90.896,0 22.752 234.816 80.347,0 CUDA_KERNEL reduce(long, int, int, float *, float *)
