1,0 84.774.624 2.000 42.387,0 40.992,0 40.128 101.472 6.650,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.847.520 2.000 44.423,0 43.360,0 40.256 1.656.544 36.449,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.925.536 2.000 45.962,0 45.664,0 42.208 104.960 5.730,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.823.104 2.000 43.911,0 42.720,0 41.152 103.136 6.514,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.339.296 2.000 42.669,0 42.080,0 39.680 99.232 6.463,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.192.224 2.000 44.596,0 41.024,0 40.032 120.032 10.767,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.036.672 2.000 43.518,0 41.984,0 41.088 783.072 17.512,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.773.312 2.000 42.886,0 41.440,0 40.576 102.016 6.768,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 96.120.608 2.000 48.060,0 42.720,0 41.888 104.384 12.930,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.222.016 2.000 43.111,0 41.712,0 40.480 102.848 5.602,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.977.408 2.000 46.488,0 44.416,0 41.312 102.944 9.952,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.692.064 2.000 45.346,0 43.040,0 41.440 1.706.400 37.832,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.639.008 2.000 45.819,0 42.784,0 41.152 103.808 11.133,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 82.928.480 2.000 41.464,0 40.800,0 39.072 100.320 5.027,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.919.968 2.000 42.460,0 41.152,0 40.384 100.928 5.952,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.797.376 2.000 45.398,0 43.104,0 41.664 104.992 7.552,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
