 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)     GridXYZ         BlockXYZ                   Name              
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  --------------  --------------  --------------------------------
      0,0           95.072          1     95.072,0     95.072,0     95.072     95.072          0,0    95    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           94.784          1     94.784,0     94.784,0     94.784     94.784          0,0    32   32    1    16   16    1  lud_internal(float *, int, int) 
      0,0           93.888          1     93.888,0     93.888,0     93.888     93.888          0,0    91    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           89.376          1     89.376,0     89.376,0     89.376     89.376          0,0    31   31    1    16   16    1  lud_internal(float *, int, int) 
      0,0           88.192          1     88.192,0     88.192,0     88.192     88.192          0,0    87    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           87.840          1     87.840,0     87.840,0     87.840     87.840          0,0    86    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           87.680          1     87.680,0     87.680,0     87.680     87.680          0,0    81    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           87.648          1     87.648,0     87.648,0     87.648     87.648          0,0    82    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           87.584          1     87.584,0     87.584,0     87.584     87.584          0,0    84    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           87.200          1     87.200,0     87.200,0     87.200     87.200          0,0    83    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           86.560          1     86.560,0     86.560,0     86.560     86.560          0,0    85    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           85.728          1     85.728,0     85.728,0     85.728     85.728          0,0    88    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           84.064          1     84.064,0     84.064,0     84.064     84.064          0,0    30   30    1    16   16    1  lud_internal(float *, int, int) 
      0,0           82.400          1     82.400,0     82.400,0     82.400     82.400          0,0    73    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           82.336          1     82.336,0     82.336,0     82.336     82.336          0,0    74    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           82.112          1     82.112,0     82.112,0     82.112     82.112          0,0    78    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           81.792          1     81.792,0     81.792,0     81.792     81.792          0,0    77    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           81.024          1     81.024,0     81.024,0     81.024     81.024          0,0    79    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           80.384          1     80.384,0     80.384,0     80.384     80.384          0,0    80    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           80.128          1     80.128,0     80.128,0     80.128     80.128          0,0    75    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           79.808          1     79.808,0     79.808,0     79.808     79.808          0,0    76    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           79.232          1     79.232,0     79.232,0     79.232     79.232          0,0    29   29    1    16   16    1  lud_internal(float *, int, int) 
      0,0           77.504          1     77.504,0     77.504,0     77.504     77.504          0,0    69    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           76.160          1     76.160,0     76.160,0     76.160     76.160          0,0    68    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           75.424          1     75.424,0     75.424,0     75.424     75.424          0,0    70    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           74.944          1     74.944,0     74.944,0     74.944     74.944          0,0    71    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           74.784          1     74.784,0     74.784,0     74.784     74.784          0,0    72    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           74.592          1     74.592,0     74.592,0     74.592     74.592          0,0    67    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           74.144          1     74.144,0     74.144,0     74.144     74.144          0,0    66    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           74.048          1     74.048,0     74.048,0     74.048     74.048          0,0    28   28    1    16   16    1  lud_internal(float *, int, int) 
      0,0           73.728          1     73.728,0     73.728,0     73.728     73.728          0,0    65    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           69.728          1     69.728,0     69.728,0     69.728     69.728          0,0    64    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           69.504          1     69.504,0     69.504,0     69.504     69.504          0,0    57    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           69.408          1     69.408,0     69.408,0     69.408     69.408          0,0    63    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           69.248          1     69.248,0     69.248,0     69.248     69.248          0,0    62    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           69.088          1     69.088,0     69.088,0     69.088     69.088          0,0    27   27    1    16   16    1  lud_internal(float *, int, int) 
      0,0           68.448          1     68.448,0     68.448,0     68.448     68.448          0,0    58    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           67.712          1     67.712,0     67.712,0     67.712     67.712          0,0    60    1    1    32    1    1  lud_perimeter(float *, int, int)
      0,0           67.584          1     67.584,0     67.584,0     67.584     67.584          0,0    59    1    1    32    1    1  lud_perimeter(float *, int, int)
