1.4 2827008 1 2827008.0 2827008.0 2827008 2827008 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2832032 1 2832032.0 2832032.0 2832032 2832032 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830816 1 2830816.0 2830816.0 2830816 2830816 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2826272 1 2826272.0 2826272.0 2826272 2826272 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828384 1 2828384.0 2828384.0 2828384 2828384 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828864 1 2828864.0 2828864.0 2828864 2828864 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828096 1 2828096.0 2828096.0 2828096 2828096 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830656 1 2830656.0 2830656.0 2830656 2830656 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827872 1 2827872.0 2827872.0 2827872 2827872 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2826816 1 2826816.0 2826816.0 2826816 2826816 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831456 1 2831456.0 2831456.0 2831456 2831456 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829440 1 2829440.0 2829440.0 2829440 2829440 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829632 1 2829632.0 2829632.0 2829632 2829632 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830912 1 2830912.0 2830912.0 2830912 2830912 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2832832 1 2832832.0 2832832.0 2832832 2832832 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829664 1 2829664.0 2829664.0 2829664 2829664 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827456 1 2827456.0 2827456.0 2827456 2827456 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830496 1 2830496.0 2830496.0 2830496 2830496 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827168 1 2827168.0 2827168.0 2827168 2827168 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830048 1 2830048.0 2830048.0 2830048 2830048 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830784 1 2830784.0 2830784.0 2830784 2830784 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
