1,0 5.008.832 2 2.504.416,0 2.504.416,0 1.912.448 3.096.384 837.169,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.005.600 2 2.502.800,0 2.502.800,0 1.919.360 3.086.240 825.108,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.004.896 2 2.502.448,0 2.502.448,0 1.907.008 3.097.888 842.079,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.015.200 2 2.507.600,0 2.507.600,0 1.912.992 3.102.208 840.902,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.019.264 2 2.509.632,0 2.509.632,0 1.919.392 3.099.872 834.725,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.010.624 2 2.505.312,0 2.505.312,0 1.916.032 3.094.592 833.367,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.007.936 2 2.503.968,0 2.503.968,0 1.911.136 3.096.800 838.391,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.000.576 2 2.500.288,0 2.500.288,0 1.906.432 3.094.144 839.839,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.002.208 2 2.501.104,0 2.501.104,0 1.917.216 3.084.992 825.742,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.000.768 2 2.500.384,0 2.500.384,0 1.906.496 3.094.272 839.884,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.996.672 2 2.498.336,0 2.498.336,0 1.906.176 3.090.496 837.440,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.009.664 2 2.504.832,0 2.504.832,0 1.916.128 3.093.536 832.553,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.011.264 2 2.505.632,0 2.505.632,0 1.915.584 3.095.680 834.453,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.003.584 2 2.501.792,0 2.501.792,0 1.918.048 3.085.536 825.538,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.997.472 2 2.498.736,0 2.498.736,0 1.900.128 3.097.344 846.559,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.009.120 2 2.504.560,0 2.504.560,0 1.910.048 3.099.072 840.766,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.009.792 2 2.504.896,0 2.504.896,0 1.908.128 3.101.664 843.957,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.013.568 2 2.506.784,0 2.506.784,0 1.902.528 3.111.040 854.547,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.010.784 2 2.505.392,0 2.505.392,0 1.921.120 3.089.664 826.285,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.003.328 2 2.501.664,0 2.501.664,0 1.903.648 3.099.680 845.722,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.001.728 2 2.500.864,0 2.500.864,0 1.914.528 3.087.200 829.204,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.993.888 2 2.496.944,0 2.496.944,0 1.911.232 3.082.656 828.321,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.010.560 2 2.505.280,0 2.505.280,0 1.924.992 3.085.568 820.651,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.194.848 2 2.597.424,0 2.597.424,0 1.913.536 3.281.312 967.163,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.015.552 2 2.507.776,0 2.507.776,0 1.907.968 3.107.584 848.256,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.000.224 2 2.500.112,0 2.500.112,0 1.903.424 3.096.800 843.844,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.996.352 2 2.498.176,0 2.498.176,0 1.908.960 3.087.392 833.277,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.996.224 2 2.498.112,0 2.498.112,0 1.907.648 3.088.576 835.042,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.992.256 2 2.496.128,0 2.496.128,0 1.902.368 3.089.888 839.703,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.007.040 2 2.503.520,0 2.503.520,0 1.912.736 3.094.304 835.494,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.001.856 2 2.500.928,0 2.500.928,0 1.908.320 3.093.536 838.074,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 9.227.680 2 4.613.840,0 4.613.840,0 1.903.264 7.324.416 3.833.333,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.010.656 2 2.505.328,0 2.505.328,0 1.911.552 3.099.104 839.726,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 4.993.728 2 2.496.864,0 2.496.864,0 1.909.440 3.084.288 830.743,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 8.518.944 2 4.259.472,0 4.259.472,0 1.910.112 6.608.832 3.322.496,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.229.920 2 2.614.960,0 2.614.960,0 1.904.896 3.325.024 1.004.182,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.002.080 2 2.501.040,0 2.501.040,0 1.908.832 3.093.248 837.508,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.013.888 2 2.506.944,0 2.506.944,0 1.911.296 3.102.592 842.373,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.006.304 2 2.503.152,0 2.503.152,0 1.914.176 3.092.128 832.937,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.000.768 2 2.500.384,0 2.500.384,0 1.905.056 3.095.712 841.920,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.020.416 2 2.510.208,0 2.510.208,0 1.922.848 3.097.568 830.652,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 5.005.760 2 2.502.880,0 2.502.880,0 1.913.248 3.092.512 833.865,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
