0,0 20.608 2 10.304,0 10.304,0 6.240 14.368 5.747,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.392 2 9.696,0 9.696,0 6.208 13.184 4.932,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.152 2 10.576,0 10.576,0 6.304 14.848 6.041,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.024 2 10.512,0 10.512,0 6.272 14.752 5.996,0 CUDA_KERNEL Fan1(float *, float *, int, int)
1,0 26.112 2 13.056,0 13.056,0 9.376 16.736 5.204,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.664 2 8.832,0 8.832,0 4.704 12.960 5.837,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.152 2 10.576,0 10.576,0 6.240 14.912 6.132,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.416 2 10.208,0 10.208,0 6.272 14.144 5.566,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.776 2 7.888,0 7.888,0 4.640 11.136 4.593,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.448 2 10.224,0 10.224,0 6.208 14.240 5.679,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 25.216 2 12.608,0 12.608,0 8.576 16.640 5.702,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.672 2 10.336,0 10.336,0 6.176 14.496 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.504 2 10.752,0 10.752,0 6.560 14.944 5.928,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 21.248 2 10.624,0 10.624,0 6.528 14.720 5.792,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.864 2 10.432,0 10.432,0 6.304 14.560 5.837,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.736 2 10.368,0 10.368,0 6.400 14.336 5.611,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.736 2 10.368,0 10.368,0 6.208 14.528 5.883,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 22.144 2 11.072,0 11.072,0 6.336 15.808 6.697,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.480 2 10.240,0 10.240,0 6.240 14.240 5.656,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 20.512 2 10.256,0 10.256,0 6.176 14.336 5.770,0 CUDA_KERNEL Fan1(float *, float *, int, int)
