0,0 640.256 3 213.418,0 211.488,0 209.696 219.072 4.977,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.936 3 213.312,0 210.112,0 208.320 221.504 7.150,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 656.160 3 218.720,0 220.352,0 213.536 222.272 4.591,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.632 3 213.877,0 213.280,0 209.024 219.328 5.177,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 644.032 3 214.677,0 212.608,0 209.184 222.240 6.769,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 635.680 3 211.893,0 209.216,0 208.000 218.464 5.722,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.128 3 213.376,0 212.064,0 208.640 219.424 5.510,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 619.552 3 206.517,0 209.312,0 198.208 212.032 7.323,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.496 3 212.832,0 210.304,0 209.600 218.592 5.000,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 645.536 3 215.178,0 209.984,0 209.920 225.632 9.052,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.744 3 213.248,0 211.168,0 208.576 220.000 5.989,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.712 3 213.237,0 211.328,0 209.152 219.232 5.304,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.592 3 214.197,0 209.216,0 209.120 224.256 8.711,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 648.160 3 216.053,0 215.040,0 210.464 222.656 6.158,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.408 3 213.802,0 210.624,0 210.016 220.768 6.039,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.744 3 213.248,0 210.912,0 208.032 220.800 6.696,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 637.536 3 212.512,0 209.312,0 209.184 219.040 5.653,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.072 3 213.024,0 213.344,0 207.296 218.432 5.574,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 644.192 3 214.730,0 213.536,0 209.312 221.344 6.104,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 644.288 3 214.762,0 211.424,0 210.624 222.240 6.487,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.080 3 215.360,0 215.616,0 210.208 220.256 5.028,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 629.824 3 209.941,0 207.008,0 201.024 221.792 10.690,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.048 3 214.016,0 212.032,0 206.048 223.968 9.123,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.176 3 214.058,0 211.552,0 208.160 222.464 7.474,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.336 3 212.778,0 209.696,0 208.320 220.320 6.567,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.216 3 213.738,0 212.800,0 207.296 221.120 6.959,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.568 3 213.856,0 210.432,0 207.712 223.424 8.397,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.064 3 213.354,0 212.832,0 207.808 219.424 5.825,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.320 3 213.440,0 209.184,0 207.744 223.392 8.648,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 650.304 3 216.768,0 218.304,0 209.344 222.656 6.787,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 634.304 3 211.434,0 210.304,0 209.440 214.560 2.740,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.176 3 214.058,0 210.368,0 207.264 224.544 9.212,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.784 3 214.261,0 211.424,0 209.856 221.504 6.321,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.016 3 214.005,0 214.624,0 207.232 220.160 6.486,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.328 3 214.442,0 210.720,0 210.528 222.080 6.614,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 632.096 3 210.698,0 210.752,0 208.832 212.512 1.840,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.944 3 215.648,0 214.816,0 208.320 223.808 7.777,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.936 3 214.645,0 212.960,0 209.152 221.824 6.501,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.160 3 213.386,0 210.304,0 208.928 220.928 6.567,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 636.768 3 212.256,0 209.664,0 207.712 219.392 6.256,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.760 3 213.920,0 212.224,0 209.472 220.064 5.495,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 644.544 3 214.848,0 211.488,0 208.064 224.992 8.950,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.056 3 213.685,0 212.480,0 208.064 220.512 6.310,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.680 3 213.226,0 211.616,0 208.352 219.712 5.848,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.424 3 213.141,0 211.008,0 207.360 221.056 7.092,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.792 3 213.930,0 210.656,0 209.728 221.408 6.492,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
