     39,0       82.241.696        127     647.572,0     495.872,0      6.848   1.941.088     569.059,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0        9.209.152        127      72.513,0      67.648,0     44.992     129.984      22.920,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        5.070.752        128      39.615,0      39.600,0     38.720      45.024         621,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      132.210.240        127   1.041.025,0     744.192,0       9.536    3.171.648      930.679,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.820.000        127     116.692,0     107.360,0      70.432      206.144       38.117,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.125.664        128      63.481,0      63.504,0      62.336       72.480        1.182,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     38,0      132.177.184        127   1.040.765,0     743.488,0       9.408    3.176.352      937.374,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.804.032        127     116.567,0     107.296,0      70.464      206.176       38.154,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.115.040        128      63.398,0      63.184,0      62.272       72.288        1.134,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      133.341.280        127   1.049.931,0     799.392,0      11.008    3.145.664      925.685,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.911.232        127     117.411,0     108.672,0      72.128      206.624       37.537,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.213.088        128      64.164,0      63.904,0      63.520       72.416          867,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     39,0      130.759.616        127   1.029.603,0     737.600,0       9.504    3.191.296      931.192,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.782.784        127     116.399,0     107.584,0      70.656      205.888       38.079,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.111.040        128      63.367,0      63.216,0      62.272       72.384        1.091,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     36,0      133.068.800        127    1.047.785,0      796.416,0       9.600    3.222.112      934.001,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      4,0       14.835.424        127      116.814,0      108.672,0      70.816      207.648       38.163,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
      2,0        8.133.760        128       63.545,0       63.584,0      62.368       71.712        1.072,0  CUDA_KERNEL  lud_diagonal(float *, int, int) 
     35,0      133.884.896        127    1.054.211,0      799.008,0       9.536    3.190.880      929.755,0  CUDA_KERNEL  lud_internal(float *, int, int) 
      3,0       14.875.840        127      117.132,0      108.640,0      70.592      206.112       37.672,0  CUDA_KERNEL  lud_perimeter(float *, int, int)
