4,0 8.909.536 127 70.153,0 65.440,0 43.040 125.760 22.696,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.780.512 127 116.382,0 107.360,0 69.696 205.408 38.189,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.786.848 127 116.431,0 107.904,0 70.816 207.360 38.349,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.215.872 127 111.936,0 106.688,0 45.568 206.912 43.536,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 10.945.152 127 86.182,0 79.392,0 52.736 151.008 27.786,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.782.272 127 116.395,0 107.328,0 70.304 206.624 38.312,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.766.656 127 116.272,0 106.816,0 70.560 206.112 38.178,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.900.960 127 117.330,0 109.216,0 71.584 205.984 37.330,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.782.080 127 116.394,0 108.288,0 70.656 207.488 38.271,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.783.200 127 116.403,0 107.168,0 70.016 205.632 38.163,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.760.192 127 116.222,0 105.632,0 70.464 205.344 38.370,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.773.440 127 116.326,0 106.176,0 70.912 206.688 38.393,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.838.464 127 116.838,0 109.088,0 70.240 207.040 38.026,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.768.640 127 116.288,0 106.464,0 70.464 207.264 38.293,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.775.936 127 116.346,0 106.976,0 70.496 206.304 38.176,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.776.512 127 116.350,0 107.232,0 69.792 206.880 38.270,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.896.320 127 117.293,0 108.992,0 71.648 205.504 37.622,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.449.376 127 113.774,0 106.592,0 46.208 206.272 41.352,0 CUDA_KERNEL lud_perimeter(float *, int, int)
3,0 14.864.608 127 117.044,0 108.640,0 69.792 205.728 37.958,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.762.304 127 116.238,0 105.920,0 70.400 206.272 38.263,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.893.984 127 117.275,0 109.664,0 72.096 206.400 37.418,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.833.088 127 116.796,0 108.800,0 70.400 205.760 38.088,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.782.688 127 116.399,0 106.656,0 69.728 206.720 38.259,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 13.070.048 127 102.913,0 107.072,0 44.928 206.400 50.718,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.764.864 127 116.258,0 106.688,0 69.728 206.176 38.274,0 CUDA_KERNEL lud_perimeter(float *, int, int)
4,0 14.838.528 127 116.838,0 108.864,0 70.592 205.792 38.113,0 CUDA_KERNEL lud_perimeter(float *, int, int)
