39,0 130.394.528 127 1.026.728,0 687.168,0 9.632 3.138.784 933.974,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 129.917.184 127 1.022.970,0 676.608,0 9.536 3.159.808 929.972,0 CUDA_KERNEL lud_internal(float *, int, int)
35,0 132.180.576 127 1.040.791,0 797.792,0 9.312 3.140.448 920.848,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.318.016 127 1.026.126,0 724.256,0 9.376 3.160.800 931.634,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 130.379.680 127 1.026.611,0 732.896,0 9.216 3.197.152 927.960,0 CUDA_KERNEL lud_internal(float *, int, int)
40,0 138.997.280 127 1.094.466,0 728.256,0 9.504 4.882.720 1.044.542,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.354.592 127 1.050.036,0 786.880,0 9.856 3.161.696 926.703,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 128.232.800 127 1.009.707,0 717.600,0 7.008 3.186.208 921.415,0 CUDA_KERNEL lud_internal(float *, int, int)
34,0 133.084.320 127 1.047.908,0 785.504,0 8.512 3.203.200 926.566,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.236.064 127 1.025.480,0 726.112,0 9.312 3.174.112 933.182,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.706.880 127 1.044.936,0 783.072,0 10.080 3.138.080 920.699,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.148.800 127 1.048.415,0 800.128,0 8.608 3.208.864 930.974,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.745.600 127 1.029.492,0 732.064,0 9.248 3.131.360 926.008,0 CUDA_KERNEL lud_internal(float *, int, int)
40,0 125.741.280 127 990.088,0 729.472,0 6.752 3.154.624 939.189,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 130.563.776 127 1.028.061,0 732.576,0 9.312 3.177.376 930.740,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.489.312 127 1.043.222,0 796.320,0 9.600 3.156.640 926.011,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.478.944 127 1.043.141,0 781.376,0 10.080 3.197.696 918.622,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.218.368 127 1.041.089,0 789.536,0 10.144 3.172.192 917.386,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 130.546.688 127 1.027.926,0 720.512,0 8.512 3.110.272 921.500,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.380.864 127 1.026.621,0 730.912,0 8.576 3.154.592 930.581,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.734.112 127 1.045.150,0 780.960,0 9.312 3.105.024 919.582,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 132.444.736 127 1.042.871,0 801.312,0 10.080 3.118.944 916.651,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 130.243.552 127 1.025.539,0 738.400,0 8.416 3.210.560 932.861,0 CUDA_KERNEL lud_internal(float *, int, int)
34,0 133.104.832 127 1.048.069,0 800.288,0 9.376 3.170.208 929.690,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.173.248 127 1.048.608,0 795.008,0 9.216 3.144.384 923.624,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 129.178.848 127 1.017.156,0 724.128,0 7.008 3.145.696 927.673,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 131.411.040 127 1.034.732,0 810.272,0 9.728 3.182.304 937.052,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 131.126.464 127 1.032.491,0 727.520,0 9.664 3.114.720 930.965,0 CUDA_KERNEL lud_internal(float *, int, int)
37,0 131.773.664 127 1.037.587,0 742.688,0 9.376 3.162.368 932.124,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.541.632 127 1.051.508,0 782.656,0 9.312 3.210.112 925.802,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.677.408 127 1.052.578,0 789.792,0 10.048 3.177.216 926.950,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 95.700.256 127 753.545,0 566.368,0 6.528 2.337.408 667.234,0 CUDA_KERNEL lud_internal(float *, int, int)
38,0 131.005.312 127 1.031.537,0 737.568,0 9.312 3.162.624 931.426,0 CUDA_KERNEL lud_internal(float *, int, int)
39,0 133.800.448 127 1.053.546,0 790.528,0 10.048 3.153.312 925.349,0 CUDA_KERNEL lud_internal(float *, int, int)
