2,0 4.132.512 128 32.285,0 32.336,0 31.808 36.448 428,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.120.928 128 32.194,0 32.064,0 31.808 36.064 408,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.951.072 128 38.680,0 38.592,0 38.144 42.912 480,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 4.939.520 128 38.590,0 38.512,0 37.888 43.328 556,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.103.840 128 63.311,0 63.152,0 62.272 72.736 1.079,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.186.976 128 63.960,0 63.696,0 63.168 71.840 894,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.591.520 128 59.308,0 62.784,0 39.808 71.680 8.697,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.111.936 128 47.749,0 47.488,0 47.104 53.344 972,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.104.128 128 63.313,0 63.152,0 62.272 73.216 1.166,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.081.792 128 63.139,0 62.880,0 62.304 72.832 1.096,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.208.992 128 64.132,0 64.096,0 63.520 72.512 833,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.178.624 128 63.895,0 63.776,0 63.104 72.160 829,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.117.472 128 63.417,0 63.200,0 62.272 71.456 1.014,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.165.568 128 63.793,0 63.584,0 63.168 72.288 848,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.172.000 128 63.843,0 63.568,0 63.200 71.648 842,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.135.712 128 63.560,0 63.584,0 62.336 71.488 995,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.079.776 128 63.123,0 62.688,0 62.240 72.192 1.123,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.114.816 128 63.397,0 63.040,0 62.240 72.192 1.151,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.113.056 128 63.383,0 62.864,0 62.240 71.392 1.496,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.185.696 128 63.950,0 63.584,0 63.424 72.416 901,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.781.440 128 60.792,0 62.752,0 40.160 72.288 6.899,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.159.360 128 63.745,0 63.648,0 62.400 72.064 992,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.070.304 128 63.049,0 62.752,0 62.208 71.328 1.009,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.201.088 128 64.071,0 64.032,0 63.488 71.616 768,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.154.720 128 63.708,0 64.032,0 62.304 71.872 1.088,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.120.160 128 63.438,0 63.136,0 62.272 72.768 1.236,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 6.708.128 128 52.407,0 62.288,0 38.848 72.256 11.932,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.096.576 128 63.254,0 62.896,0 62.208 71.584 1.101,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.132.320 128 63.533,0 63.584,0 62.304 72.512 1.087,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.211.328 128 64.151,0 64.192,0 63.488 72.352 880,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.209.312 128 64.135,0 63.872,0 63.424 71.968 878,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.100.992 128 63.289,0 63.232,0 62.304 72.480 1.112,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.088.128 128 63.188,0 62.720,0 62.336 71.552 1.074,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.200.384 128 64.065,0 64.176,0 62.272 71.520 930,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.208.960 128 64.132,0 63.856,0 63.456 71.872 868,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.087.840 128 63.186,0 62.912,0 62.240 71.232 1.012,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.146.752 128 63.646,0 63.584,0 62.272 71.584 1.090,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.177.792 128 63.889,0 63.600,0 62.368 72.160 912,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 7.525.664 128 58.794,0 62.768,0 39.680 71.072 8.772,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.173.120 128 63.852,0 63.728,0 63.168 72.576 847,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.106.208 128 63.329,0 62.848,0 62.272 72.608 1.154,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.111.808 128 63.373,0 62.976,0 62.304 71.232 1.031,0 CUDA_KERNEL lud_diagonal(float *, int, int)
2,0 8.201.824 128 64.076,0 64.320,0 62.208 72.448 1.025,0 CUDA_KERNEL lud_diagonal(float *, int, int)
