0,0 86.688 8 10.836,0 10.512,0 10.368 13.216 964,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 87.456 8 10.932,0 10.544,0 9.472 14.752 1.590,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.336 8 10.792,0 10.480,0 9.888 13.440 1.093,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 89.216 8 11.152,0 10.704,0 10.336 14.880 1.516,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.112 8 10.764,0 10.432,0 10.144 13.344 1.054,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.480 8 11.060,0 10.768,0 10.464 13.408 965,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 79.424 8 9.928,0 10.368,0 7.680 11.872 1.471,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 53.536 8 6.692,0 6.464,0 5.056 9.600 1.283,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.696 8 10.712,0 10.528,0 9.312 13.504 1.285,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.168 8 10.896,0 10.512,0 10.400 13.472 1.048,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.584 8 10.948,0 10.560,0 10.432 13.344 991,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 54.368 8 6.796,0 6.416,0 6.176 9.568 1.135,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.472 8 10.684,0 10.464,0 9.152 13.504 1.231,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.496 8 10.812,0 10.368,0 9.792 14.592 1.541,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.408 8 10.676,0 10.304,0 10.208 13.216 1.029,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.296 8 10.912,0 10.480,0 10.144 13.632 1.130,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.768 8 11.096,0 10.752,0 10.624 13.664 1.042,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.496 8 10.812,0 10.624,0 9.312 13.600 1.214,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.464 8 10.808,0 10.672,0 9.216 13.568 1.248,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.944 8 10.868,0 10.528,0 10.400 13.280 979,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.944 8 10.868,0 10.608,0 9.184 15.168 1.855,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.744 8 10.968,0 10.608,0 10.528 13.472 1.015,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 85.376 8 10.672,0 10.416,0 9.216 13.536 1.235,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
2,0 88.672 8 11.084,0 10.736,0 10.624 13.728 1.071,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.272 8 10.784,0 10.512,0 9.280 13.536 1.216,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 88.512 8 11.064,0 10.576,0 9.632 15.104 1.672,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.072 8 10.884,0 10.496,0 10.400 13.536 1.076,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 87.488 8 10.936,0 10.624,0 10.304 13.568 1.075,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1,0 86.976 8 10.872,0 10.464,0 10.368 13.504 1.073,0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
