1,0 166.300.416 2.000 83.150,0 81.568,0 80.448 210.944 9.708,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.365.792 2.000 85.182,0 81.568,0 80.640 213.056 17.873,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.711.680 2.000 82.855,0 81.216,0 80.352 210.880 10.968,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.128.832 2.000 84.064,0 81.344,0 80.480 211.872 15.212,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.725.920 2.000 82.863,0 81.344,0 80.192 210.848 8.854,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.581.824 2.000 83.290,0 81.376,0 80.480 211.520 11.316,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.228.512 2.000 83.114,0 81.328,0 80.224 208.672 11.324,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.444.096 2.000 83.722,0 81.440,0 80.256 211.744 13.761,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.006.144 2.000 84.003,0 81.504,0 80.512 934.176 22.341,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.333.344 2.000 84.166,0 81.504,0 80.416 212.192 14.969,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.792.896 2.000 83.896,0 81.152,0 80.064 1.053.696 25.347,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.885.056 2.000 84.442,0 81.312,0 80.320 210.560 16.425,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.187.008 2.000 83.593,0 81.504,0 80.416 212.480 12.411,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 169.205.152 2.000 84.602,0 81.568,0 80.608 210.784 16.204,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.204.640 2.000 83.602,0 81.312,0 80.320 1.517.472 33.355,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 170.722.144 2.000 85.361,0 81.568,0 80.480 210.112 18.180,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.584.224 2.000 83.292,0 81.536,0 80.512 212.384 9.186,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.150.208 2.000 83.075,0 81.536,0 80.448 210.656 9.718,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.505.280 2.000 83.252,0 81.472,0 80.480 209.920 10.552,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.519.456 2.000 83.259,0 81.632,0 80.608 209.920 9.479,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.675.808 2.000 82.837,0 81.440,0 80.384 212.928 9.810,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.132.864 2.000 83.066,0 81.152,0 80.288 212.032 10.970,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.436.512 2.000 82.718,0 81.120,0 80.096 211.424 10.836,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.542.304 2.000 83.271,0 81.248,0 80.256 209.280 12.668,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
