0,0 327.360 3 109.120,0 109.344,0 108.544 109.472 502,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 330.560 3 110.186,0 110.272,0 108.960 111.328 1.186,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 334.688 3 111.562,0 112.512,0 108.160 114.016 3.041,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.336 3 112.778,0 111.264,0 108.544 118.528 5.161,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 329.632 3 109.877,0 109.472,0 108.352 111.808 1.763,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 341.216 3 113.738,0 112.928,0 109.856 118.432 4.345,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.456 3 114.485,0 111.392,0 110.944 121.120 5.750,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 332.384 3 110.794,0 110.400,0 109.696 112.288 1.340,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 336.992 3 112.330,0 111.232,0 110.880 114.880 2.214,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.120 3 115.040,0 111.456,0 110.048 123.616 7.460,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 334.272 3 111.424,0 110.400,0 110.400 113.472 1.773,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.976 3 114.325,0 113.280,0 109.888 119.808 5.041,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 328.032 3 109.344,0 109.216,0 108.832 109.984 586,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.456 3 111.818,0 111.584,0 109.536 114.336 2.408,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.168 3 110.389,0 110.080,0 109.248 111.840 1.323,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.632 3 115.210,0 112.096,0 109.856 123.680 7.419,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 339.136 3 113.045,0 112.960,0 108.608 117.568 4.480,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 330.784 3 110.261,0 109.472,0 109.152 112.160 1.652,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.968 3 110.656,0 109.536,0 108.832 113.600 2.573,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.008 3 111.669,0 112.224,0 109.984 112.800 1.487,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.632 3 115.210,0 113.024,0 112.768 119.840 4.011,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 350.976 3 116.992,0 113.056,0 112.416 125.504 7.378,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 191.776 3 63.925,0 63.200,0 62.688 65.888 1.718,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 331.104 3 110.368,0 109.248,0 108.576 113.280 2.544,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 344.448 3 114.816,0 110.848,0 109.728 123.872 7.862,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 348.800 3 116.266,0 114.272,0 112.384 122.144 5.176,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 334.496 3 111.498,0 112.320,0 109.664 112.512 1.591,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 336.512 3 112.170,0 111.904,0 111.584 113.024 756,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 346.816 3 115.605,0 110.720,0 109.248 126.848 9.764,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.896 3 113.632,0 112.320,0 112.192 116.384 2.384,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 341.248 3 113.749,0 116.128,0 108.992 116.128 4.120,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.816 3 112.938,0 113.440,0 111.072 114.304 1.673,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 334.304 3 111.434,0 111.872,0 109.952 112.480 1.319,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.168 3 114.389,0 113.568,0 112.192 117.408 2.703,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.976 3 112.992,0 113.952,0 110.112 114.912 2.539,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.856 3 112.618,0 112.992,0 111.584 113.280 907,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 344.672 3 114.890,0 111.392,0 110.656 122.624 6.707,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 327.072 3 109.024,0 108.992,0 107.488 110.592 1.552,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.864 3 113.621,0 109.984,0 108.992 121.888 7.176,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.448 3 113.482,0 110.176,0 107.296 122.976 8.346,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.352 3 113.450,0 111.360,0 108.672 120.320 6.098,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.776 3 111.925,0 112.384,0 109.792 113.600 1.945,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.664 3 115.221,0 112.032,0 111.808 121.824 5.719,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.584 3 114.528,0 113.312,0 112.352 117.920 2.976,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 348.128 3 116.042,0 113.600,0 112.224 122.304 5.465,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 346.080 3 115.360,0 112.640,0 111.776 121.664 5.476,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.136 3 111.712,0 111.872,0 110.464 112.800 1.176,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 332.704 3 110.901,0 111.584,0 109.440 111.680 1.266,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.184 3 115.061,0 113.504,0 111.264 120.416 4.770,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.720 3 114.240,0 112.640,0 111.104 118.976 4.172,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 330.240 3 110.080,0 110.304,0 109.536 110.400 473,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 341.440 3 113.813,0 112.416,0 112.320 116.704 2.503,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 339.552 3 113.184,0 113.216,0 111.904 114.432 1.264,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.344 3 111.114,0 111.936,0 107.968 113.440 2.826,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.280 3 112.426,0 111.168,0 110.368 115.744 2.900,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 345.920 3 115.306,0 111.424,0 110.208 124.288 7.801,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 339.296 3 113.098,0 111.008,0 108.576 119.712 5.855,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 347.360 3 115.786,0 114.400,0 110.208 122.752 6.385,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
