36,0 3.567.027.136 6.000 594.504,0 583.968,0 579.424 2.334.624 71.264,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.583.552.768 6.000 597.258,0 585.312,0 580.352 2.560.736 81.826,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.571.402.912 6.000 595.233,0 584.736,0 580.064 2.554.464 79.141,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.595.959.040 6.000 599.326,0 583.712,0 579.584 2.560.320 96.282,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.582.655.936 6.000 597.109,0 584.320,0 580.160 2.900.896 87.270,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.563.501.280 6.000 593.916,0 584.256,0 580.192 2.429.632 67.647,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.578.789.504 6.000 596.464,0 584.832,0 579.904 2.449.888 75.129,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.607.555.520 6.000 601.259,0 584.416,0 579.488 2.441.920 86.189,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.577.734.240 6.000 596.289,0 584.736,0 580.768 2.465.440 78.704,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.621.102.144 6.000 603.517,0 584.736,0 580.064 4.145.280 121.727,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.564.729.568 6.000 594.121,0 583.904,0 579.488 2.433.120 72.034,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.569.660.864 6.000 594.943,0 584.320,0 580.160 2.876.288 79.891,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.571.738.400 6.000 595.289,0 584.080,0 578.016 2.445.472 79.644,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.596.958.432 6.000 599.493,0 584.000,0 578.880 2.521.920 95.620,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.558.444.896 6.000 593.074,0 584.096,0 580.000 2.425.408 57.778,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.573.391.040 6.000 595.565,0 584.032,0 579.552 2.557.024 75.466,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.562.417.248 6.000 593.736,0 583.968,0 578.784 2.468.224 66.571,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.569.842.688 6.000 594.973,0 584.608,0 580.288 2.329.696 67.792,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.570.420.512 6.000 595.070,0 584.192,0 580.608 2.924.320 80.819,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.570.184.416 6.000 595.030,0 584.256,0 580.320 2.430.848 77.540,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.578.229.888 6.000 596.371,0 584.288,0 579.648 2.433.536 79.266,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.578.228.544 6.000 596.371,0 584.480,0 580.800 2.406.272 75.991,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.581.651.104 6.000 596.941,0 584.320,0 580.192 2.537.664 82.395,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.595.669.344 6.000 599.278,0 584.160,0 579.232 2.503.072 96.152,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.584.971.744 6.000 597.495,0 583.776,0 579.296 2.421.312 85.647,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.570.514.592 6.000 595.085,0 584.640,0 580.512 4.735.584 99.165,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.552.996.480 6.000 592.166,0 583.904,0 579.520 2.586.304 66.605,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.579.087.040 6.000 596.514,0 584.544,0 580.192 2.549.120 76.989,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.624.435.936 6.000 604.072,0 584.544,0 580.480 2.492.320 109.881,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.627.142.400 6.000 604.523,0 584.352,0 578.976 2.804.320 106.046,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.603.819.552 6.000 600.636,0 584.320,0 579.392 2.731.744 100.236,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.569.529.056 6.000 594.921,0 583.968,0 579.840 2.502.496 78.206,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.588.651.200 6.000 598.108,0 584.288,0 579.776 2.473.472 91.584,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.564.245.248 6.000 594.040,0 583.680,0 578.656 3.371.104 85.588,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.558.601.856 6.000 593.100,0 584.224,0 579.232 2.460.160 67.352,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.587.502.688 6.000 597.917,0 584.096,0 580.192 2.444.896 84.552,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.578.083.456 6.000 596.347,0 584.544,0 580.032 2.557.568 80.902,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.587.669.088 6.000 597.944,0 584.416,0 580.096 2.474.016 90.471,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.555.869.344 6.000 592.644,0 583.808,0 579.424 2.454.176 63.094,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.576.399.488 6.000 596.066,0 584.384,0 580.224 2.602.304 81.774,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.570.361.696 6.000 595.060,0 584.512,0 579.328 2.460.320 73.530,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.562.549.536 6.000 593.758,0 584.448,0 580.320 2.926.304 72.646,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.587.036.320 6.000 597.839,0 584.704,0 580.864 3.379.616 92.753,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.619.402.400 6.000 603.233,0 584.256,0 580.416 4.363.264 125.401,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.607.509.312 6.000 601.251,0 584.320,0 579.488 2.866.496 105.288,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.662.849.312 6.000 610.474,0 584.384,0 579.904 4.549.696 140.556,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.587.196.896 6.000 597.866,0 584.256,0 580.192 3.946.912 97.992,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.669.441.472 6.000 611.573,0 584.096,0 579.360 2.920.608 132.516,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.568.721.920 6.000 594.787,0 584.928,0 580.896 2.474.720 72.792,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.566.032.768 6.000 594.338,0 584.128,0 579.744 4.666.560 86.272,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.597.358.400 6.000 599.559,0 584.992,0 579.840 2.452.832 89.838,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.580.735.616 6.000 596.789,0 584.416,0 580.160 2.444.800 80.276,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.585.895.136 6.000 597.649,0 584.512,0 579.872 3.183.168 93.909,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.574.401.504 6.000 595.733,0 584.672,0 580.448 2.505.056 77.060,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.608.409.184 6.000 601.401,0 584.192,0 579.264 2.586.080 95.222,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.584.720.672 6.000 597.453,0 584.032,0 579.584 3.292.096 97.278,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.569.622.272 6.000 594.937,0 584.256,0 579.616 2.920.512 74.310,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.562.368.224 6.000 593.728,0 584.192,0 579.616 3.634.656 77.878,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.590.254.016 6.000 598.375,0 584.608,0 580.416 2.897.408 93.550,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.606.670.144 6.000 601.111,0 584.608,0 580.192 2.971.712 98.997,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.574.729.120 6.000 595.788,0 583.840,0 578.976 2.448.928 83.609,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.599.137.312 6.000 599.856,0 584.736,0 580.672 2.452.224 94.303,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.574.349.824 6.000 595.725,0 583.952,0 579.008 2.469.056 82.946,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.579.761.920 6.000 596.627,0 584.288,0 580.064 2.455.264 81.396,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.569.252.192 6.000 594.875,0 584.096,0 579.488 2.449.824 77.157,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.618.204.096 6.000 603.034,0 584.288,0 580.608 3.517.856 114.829,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.579.238.016 6.000 596.539,0 584.704,0 580.608 2.461.024 84.006,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
