1.0 2360672 12 196722.7 216352.0 145536 244448 43097.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036832 12 253069.3 272416.0 193696 309344 49856.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 2856576 12 238048.0 222000.0 145312 309088 53694.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3041696 12 253474.7 273088.0 194048 309600 50100.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037408 12 253117.3 271760.0 194240 309472 49736.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2361600 12 196800.0 216144.0 145696 244416 43140.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036128 12 253010.7 271376.0 194048 309216 49825.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035296 12 252941.3 271152.0 193568 309312 49858.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2360192 12 196682.7 215840.0 145600 244128 43287.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036096 12 253008.0 271952.0 193600 309824 50061.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3040928 12 253410.7 271600.0 194112 310304 49941.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037536 12 253128.0 272112.0 193632 309600 49945.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038016 12 253168.0 272032.0 194272 310048 49819.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034976 12 252914.7 271584.0 193664 308960 49837.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2358144 12 196512.0 215392.0 145408 245024 43059.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037664 12 253138.7 272144.0 193696 309280 49822.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038592 12 253216.0 272368.0 194304 309664 49848.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034912 12 252909.3 271856.0 193792 309568 49966.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034976 12 252914.7 271920.0 193888 309696 49826.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037120 12 253093.3 271904.0 193600 308704 49818.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035680 12 252973.3 271984.0 193664 309760 49902.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036480 12 253040.0 271520.0 193824 309440 49930.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037152 12 253096.0 272288.0 194752 309216 49595.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036096 12 253008.0 271536.0 193728 309760 49943.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037824 12 253152.0 272112.0 194112 309792 49758.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3039680 12 253306.7 271584.0 193952 310496 50077.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034752 12 252896.0 271456.0 194016 309312 49681.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035456 12 252954.7 271584.0 193632 309472 49833.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3040832 12 253402.7 272208.0 193888 309376 49848.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3039040 12 253253.3 271648.0 194080 309856 49688.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036992 12 253082.7 272288.0 193664 309888 50179.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035872 12 252989.3 271616.0 193536 309408 50033.4 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036736 12 253061.3 272560.0 194368 309568 49890.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038080 12 253173.3 272448.0 193952 310176 49879.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034112 12 252842.7 271408.0 193792 309376 49860.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3038880 12 253240.0 271904.0 193760 309664 49880.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036096 12 253008.0 271584.0 193664 309216 49843.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037888 12 253157.3 272416.0 193472 309952 50128.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2363200 12 196933.3 215968.0 145504 244768 43489.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 2916192 12 243016.0 244096.0 145568 309760 56106.1 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037152 12 253096.0 272496.0 193792 309504 50040.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037184 12 253098.7 271760.0 194304 309312 49667.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3039168 12 253264.0 271744.0 193984 309760 49933.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3034976 12 252914.7 271776.0 193824 309184 49951.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3041344 12 253445.3 272208.0 193536 310368 49872.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3035552 12 252962.7 271632.0 194368 308928 49743.6 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3039264 12 253272.0 272256.0 193280 310176 50070.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036288 12 253024.0 271392.0 193984 309792 49708.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037056 12 253088.0 272064.0 194208 308960 49808.7 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037088 12 253090.7 271904.0 194176 309888 49876.9 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3037216 12 253101.3 271392.0 193472 309888 50106.8 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036448 12 253037.3 271984.0 193632 310176 50150.5 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.2 3036256 12 253021.3 271664.0 193984 309280 49968.3 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
1.0 2360960 12 196746.7 215744.0 145472 244544 43152.0 CUDA_KERNEL Kernel2(bool *, bool *, bool *, bool *, int)
