6.8 15954400 12 1329533.3 410096.0 151872 6702592 1959871.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20920416 12 1743368.0 523584.0 201376 8954944 2619122.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20901472 12 1741789.3 521136.0 199552 8952288 2617841.2 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20907296 12 1742274.7 524240.0 200640 8956480 2617902.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20896896 12 1741408.0 518480.0 199136 8946816 2615628.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20911744 12 1742645.3 519824.0 200512 8936992 2613818.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
6.8 15939008 12 1328250.7 411856.0 152480 6702848 1959463.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20875264 12 1739605.3 520624.0 199392 8944416 2614611.4 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20876448 12 1739704.0 521760.0 201088 8945824 2615165.5 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20903968 12 1741997.3 518032.0 200416 8947680 2615712.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20875232 12 1739602.7 520992.0 201504 8944352 2615209.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20906976 12 1742248.0 520144.0 201248 8948128 2617355.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.6 20899072 12 1741589.3 519264.0 200256 8946080 2614509.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20928320 12 1744026.7 519472.0 199712 8946144 2616779.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20889664 12 1740805.3 518960.0 200096 8947040 2616319.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20876128 12 1739677.3 515728.0 200128 8949824 2616998.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.1 20918592 12 1743216.0 526864.0 202368 8939008 2614470.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20903264 12 1741938.7 520224.0 200768 8956640 2617847.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20892288 12 1741024.0 525456.0 201952 8950176 2615007.6 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20930496 12 1744208.0 522176.0 200352 8943648 2616529.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20909696 12 1742474.7 519392.0 201312 8948160 2617836.0 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20893888 12 1741157.3 523632.0 201408 8958112 2617723.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.3 20868704 12 1739058.7 521680.0 199712 8947360 2615837.7 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20921312 12 1743442.7 519888.0 201536 8941024 2615823.1 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20929952 12 1744162.7 522864.0 203168 8943584 2616087.8 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20907552 12 1742296.0 519200.0 199808 8935424 2613993.9 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.5 20910976 12 1742581.3 524144.0 202272 8942048 2614331.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
8.4 20924864 12 1743738.7 520448.0 200224 8948704 2616616.3 CUDA_KERNEL Kernel(Node *, int *, bool *, bool *, bool *, int *, int)
