1,0 11.023.712 2 5.511.856,0 5.511.856,0 5.511.520 5.512.192 475,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.150.688 2 5.575.344,0 5.575.344,0 5.567.040 5.583.648 11.743,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.893.856 2 7.446.928,0 7.446.928,0 7.413.504 7.480.352 47.268,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.825.216 2 7.412.608,0 7.412.608,0 7.376.896 7.448.320 50.504,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.039.744 2 5.519.872,0 5.519.872,0 5.514.784 5.524.960 7.195,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.944.192 2 6.472.096,0 6.472.096,0 5.569.568 7.374.624 1.276.367,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.873.248 2 7.436.624,0 7.436.624,0 7.420.000 7.453.248 23.509,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.091.552 2 5.545.776,0 5.545.776,0 5.526.432 5.565.120 27.356,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.025.728 2 5.512.864,0 5.512.864,0 5.507.008 5.518.720 8.281,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.893.024 2 7.446.512,0 7.446.512,0 7.388.288 7.504.736 82.341,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.049.984 2 6.524.992,0 6.524.992,0 5.593.920 7.456.064 1.316.734,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.022.592 2 5.511.296,0 5.511.296,0 5.508.128 5.514.464 4.480,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.026.592 2 5.513.296,0 5.513.296,0 5.506.944 5.519.648 8.983,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
3,0 11.039.840 2 5.519.920,0 5.519.920,0 5.510.048 5.529.792 13.961,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.888.736 2 6.944.368,0 6.944.368,0 6.447.744 7.440.992 702.332,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.780.320 2 7.390.160,0 7.390.160,0 7.333.632 7.446.688 79.942,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.054.752 2 5.527.376,0 5.527.376,0 5.523.456 5.531.296 5.543,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.340.192 2 5.670.096,0 5.670.096,0 5.571.584 5.768.608 139.317,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.394.336 2 6.697.168,0 6.697.168,0 5.933.888 7.460.448 1.079.440,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.025.024 2 5.512.512,0 5.512.512,0 5.508.608 5.516.416 5.521,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.101.888 2 5.550.944,0 5.550.944,0 5.530.368 5.571.520 29.098,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.896.160 2 7.448.080,0 7.448.080,0 7.431.744 7.464.416 23.102,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.856.544 2 7.428.272,0 7.428.272,0 7.426.944 7.429.600 1.878,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.967.808 2 6.483.904,0 6.483.904,0 5.576.128 7.391.680 1.283.789,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.993.568 2 6.496.784,0 6.496.784,0 5.549.344 7.444.224 1.339.882,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.031.776 2 5.515.888,0 5.515.888,0 5.508.000 5.523.776 11.155,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.080.128 2 5.540.064,0 5.540.064,0 5.504.960 5.575.168 49.644,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.034.592 2 6.517.296,0 6.517.296,0 5.576.384 7.458.208 1.330.650,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 14.898.592 2 7.449.296,0 7.449.296,0 7.445.792 7.452.800 4.955,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 13.013.536 2 6.506.768,0 6.506.768,0 5.573.184 7.440.352 1.320.287,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
4,0 14.951.872 2 7.475.936,0 7.475.936,0 7.474.880 7.476.992 1.493,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.791.872 2 7.395.936,0 7.395.936,0 7.351.584 7.440.288 62.723,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.043.840 2 5.521.920,0 5.521.920,0 5.512.416 5.531.424 13.440,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.933.248 2 7.466.624,0 7.466.624,0 7.440.864 7.492.384 36.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 14.827.808 2 7.413.904,0 7.413.904,0 7.395.392 7.432.416 26.179,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.020.416 2 5.510.208,0 5.510.208,0 5.506.368 5.514.048 5.430,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
1,0 11.028.352 2 5.514.176,0 5.514.176,0 5.511.104 5.517.248 4.344,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
2,0 12.985.472 2 6.492.736,0 6.492.736,0 5.563.072 7.422.400 1.314.743,0 CUDA_KERNEL kmeansPoint(float *, int, int, int, int *, float *, float *, int *)
