2,0 1.431.665.664 2.000 715.832,0 714.592,0 710.080 1.903.872 31.658,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.386.592 2.000 716.193,0 714.944,0 711.200 1.903.328 31.562,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.473.568 2.000 716.236,0 715.072,0 710.400 1.901.344 31.406,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.328.512 2.000 716.664,0 715.056,0 711.040 1.902.944 35.293,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.435.936 2.000 716.218,0 715.008,0 710.528 1.902.752 31.429,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.548.416 2.000 716.774,0 715.104,0 711.232 1.902.880 35.448,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.875.488 2.000 715.937,0 715.040,0 710.528 1.902.560 27.702,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.361.440 2.000 715.680,0 714.688,0 710.592 1.903.680 28.750,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.888.224 2.000 716.444,0 714.688,0 709.952 2.492.032 48.247,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.314.208 2.000 715.657,0 714.528,0 709.632 1.903.200 31.430,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.522.496 2.000 715.761,0 714.656,0 710.624 1.902.144 31.220,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.421.735.584 2.000 710.867,0 705.856,0 703.552 1.937.632 51.045,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.430.781.408 2.000 715.390,0 714.240,0 709.952 1.903.264 31.254,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.167.104 2.000 715.583,0 714.144,0 706.400 1.902.304 34.854,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.430.718.432 2.000 715.359,0 714.176,0 708.928 1.902.048 31.456,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.952.384 2.000 715.976,0 714.720,0 710.784 1.904.512 31.522,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.254.464 2.000 716.627,0 714.720,0 710.656 1.905.408 35.893,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.053.408 2.000 716.026,0 714.752,0 710.528 1.902.688 31.709,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.198.368 2.000 715.599,0 714.752,0 710.784 1.902.496 27.393,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.551.712 2.000 715.775,0 714.432,0 710.304 1.903.392 31.914,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.640.000 2.000 716.820,0 714.784,0 710.496 2.495.392 50.649,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.641.088 2.000 716.320,0 715.136,0 710.272 1.903.072 31.402,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.192.352 2.000 715.596,0 714.656,0 710.560 1.902.592 27.761,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.301.504 2.000 715.650,0 714.464,0 710.592 1.902.080 31.535,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.581.280 2.000 715.790,0 714.656,0 710.720 1.902.208 31.446,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.503.552 2.000 715.751,0 714.528,0 710.368 1.902.048 31.442,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.094.528 2.000 716.547,0 714.656,0 710.336 1.902.176 38.244,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.780.224 2.000 715.890,0 714.720,0 710.400 1.902.112 31.475,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.352.736 2.000 716.176,0 715.008,0 709.792 1.902.176 31.406,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.193.664 2.000 715.596,0 714.624,0 710.816 1.902.176 28.720,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.250.720 2.000 716.125,0 714.080,0 710.048 1.902.176 43.475,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.490.688 2.000 715.745,0 714.496,0 710.624 1.902.976 31.701,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.365.824 2.000 716.182,0 714.240,0 710.240 1.902.944 35.958,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.430.944.288 2.000 715.472,0 714.320,0 710.080 1.903.904 31.365,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.444.647.712 2.000 722.323,0 714.432,0 710.592 1.902.656 74.492,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.093.728 2.000 716.046,0 714.880,0 710.688 1.902.944 31.272,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.821.824 2.000 715.910,0 715.008,0 710.976 1.902.272 28.052,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.035.392 2.000 716.017,0 714.944,0 711.040 1.902.720 31.205,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.732.704 2.000 715.866,0 714.688,0 708.128 1.903.552 31.514,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.449.344 2.000 716.224,0 714.688,0 710.176 1.902.272 32.875,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.000.064 2.000 716.000,0 714.848,0 710.400 1.903.840 31.419,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.861.120 2.000 716.930,0 714.752,0 710.144 1.902.400 36.207,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.347.200 2.000 716.173,0 714.944,0 710.528 1.902.464 31.798,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.481.120 2.000 715.740,0 714.624,0 710.720 1.902.080 31.375,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.416.704.768 2.000 708.352,0 705.632,0 703.648 1.902.656 42.465,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.312.448 2.000 716.156,0 714.784,0 710.816 1.901.984 31.883,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.603.136 2.000 716.301,0 714.528,0 710.496 1.957.504 41.792,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.430.978.656 2.000 715.489,0 714.368,0 709.984 1.902.048 31.412,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.798.176 2.000 715.899,0 714.656,0 709.664 1.903.456 31.649,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.116.800 2.000 717.058,0 714.400,0 709.536 2.183.584 50.646,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.939.840 2.000 716.969,0 714.912,0 710.624 1.958.272 44.659,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
