1,0 876.716.192 6.000 146.119,0 145.632,0 144.320 1.869.312 22.799,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 873.559.296 6.000 145.593,0 145.408,0 144.096 337.696 4.972,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.640.032 6.000 144.940,0 144.032,0 142.336 341.664 9.018,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.741.312 6.000 145.956,0 145.792,0 144.608 341.600 5.028,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.394.016 6.000 145.732,0 145.440,0 142.848 343.488 6.535,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.890.112 6.000 145.815,0 145.632,0 144.288 338.144 5.011,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.542.144 6.000 145.757,0 145.504,0 144.064 340.512 5.991,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.839.072 6.000 146.139,0 145.696,0 144.320 342.240 7.475,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.931.904 6.000 146.155,0 145.888,0 144.608 338.112 5.535,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.633.408 6.000 145.772,0 145.600,0 144.256 343.584 4.474,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.689.952 6.000 146.115,0 145.888,0 144.608 343.744 5.189,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.209.440 6.000 146.034,0 145.824,0 144.480 334.912 4.915,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.158.464 6.000 145.859,0 145.632,0 144.288 349.408 5.071,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.793.696 6.000 145.965,0 145.760,0 144.320 332.128 4.926,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.547.232 6.000 146.091,0 145.824,0 144.384 337.024 6.196,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.939.104 6.000 146.656,0 146.432,0 144.640 338.336 6.001,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.930.720 6.000 146.655,0 146.464,0 145.024 347.680 5.100,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.899.104 6.000 145.983,0 145.600,0 144.160 344.736 7.738,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.383.840 6.000 146.564,0 146.016,0 144.544 1.913.440 23.611,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.588.384 6.000 146.431,0 145.920,0 144.480 1.921.856 23.568,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.275.328 6.000 145.712,0 145.504,0 144.128 337.344 4.540,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.048.864 6.000 145.841,0 145.536,0 144.160 342.560 6.532,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 873.980.128 6.000 145.663,0 145.440,0 144.064 331.040 4.972,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.053.952 6.000 146.175,0 145.824,0 144.512 332.736 6.034,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.967.872 6.000 145.828,0 145.632,0 144.224 337.568 4.945,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 888.941.344 6.000 148.156,0 146.080,0 144.640 349.888 19.430,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.701.952 6.000 146.283,0 146.048,0 144.576 338.208 5.958,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.077.344 6.000 146.012,0 145.824,0 142.784 340.256 5.006,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.571.552 6.000 146.595,0 146.432,0 144.672 340.672 4.938,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
