0,0 21.344 2 10.672,0 10.672,0 10.016 11.328 927,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.616 2 5.808,0 5.808,0 5.344 6.272 656,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 10.880 2 5.440,0 5.440,0 4.288 6.592 1.629,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.936 2 5.968,0 5.968,0 5.472 6.464 701,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 11.328 2 5.664,0 5.664,0 4.416 6.912 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.560 2 9.280,0 9.280,0 7.968 10.592 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.616 2 9.808,0 9.808,0 8.864 10.752 1.335,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.008 2 9.504,0 9.504,0 8.256 10.752 1.764,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.616 2 9.808,0 9.808,0 8.032 11.584 2.511,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 8.896 11.168 1.606,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.592 2 9.296,0 9.296,0 8.000 10.592 1.832,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.456 2 9.728,0 9.728,0 8.960 10.496 1.086,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.520 2 9.760,0 9.760,0 8.896 10.624 1.221,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.552 2 9.776,0 9.776,0 8.800 10.752 1.380,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.912 2 9.456,0 9.456,0 8.192 10.720 1.787,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 20.064 2 10.032,0 10.032,0 8.224 11.840 2.556,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 21.568 2 10.784,0 10.784,0 9.984 11.584 1.131,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 15.936 2 7.968,0 7.968,0 6.784 9.152 1.674,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.136 2 9.568,0 9.568,0 8.512 10.624 1.493,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 19.392 2 9.696,0 9.696,0 8.000 11.392 2.398,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
0,0 18.752 2 9.376,0 9.376,0 8.064 10.688 1.855,0 CUDA_KERNEL Fan2(float *, float *, float *, int, int, int)
