0,0 17.312 2 8.656,0 8.656,0 7.104 10.208 2.194,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.120 2 8.560,0 8.560,0 7.104 10.016 2.059,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.088 2 8.544,0 8.544,0 7.072 10.016 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.184 2 8.592,0 8.592,0 7.040 10.144 2.194,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 19.968 2 9.984,0 9.984,0 9.888 10.080 135,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.880 2 5.440,0 5.440,0 4.448 6.432 1.402,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.288 2 6.144,0 6.144,0 5.088 7.200 1.493,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 15.776 2 7.888,0 7.888,0 6.336 9.440 2.194,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 8.928 2 4.464,0 4.464,0 3.552 5.376 1.289,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 17.280 2 8.640,0 8.640,0 7.072 10.208 2.217,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.336 2 9.168,0 9.168,0 7.104 11.232 2.918,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 18.272 2 9.136,0 9.136,0 7.040 11.232 2.964,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.512 2 6.256,0 6.256,0 5.280 7.232 1.380,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 10.720 2 5.360,0 5.360,0 4.416 6.304 1.335,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 13.504 2 6.752,0 6.752,0 5.280 8.224 2.081,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 11.520 2 5.760,0 5.760,0 4.960 6.560 1.131,0 CUDA_KERNEL Fan1(float *, float *, int, int)
0,0 12.672 2 6.336,0 6.336,0 5.280 7.392 1.493,0 CUDA_KERNEL Fan1(float *, float *, int, int)
