1,0 7.649.760 100 76.497,0 65.200,0 63.584 104.352 14.047,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.530.080 100 75.300,0 65.184,0 63.936 101.504 13.677,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.106.592 100 71.065,0 64.672,0 56.352 102.304 13.952,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.849.696 100 78.497,0 86.400,0 63.744 100.448 13.395,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.018.368 100 80.183,0 91.536,0 63.616 102.624 13.946,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.432.384 100 64.323,0 64.240,0 63.232 71.776 865,0 CUDA_KERNEL prepare(long, float *, float *, float *)
0,0 6.468.000 100 64.680,0 52.320,0 48.896 100.640 19.185,0 CUDA_KERNEL prepare(long, float *, float *, float *)
0,0 5.550.912 100 55.509,0 48.960,0 47.808 102.336 14.042,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.928.736 100 49.287,0 49.200,0 48.192 55.424 771,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.837.120 100 48.371,0 48.320,0 47.520 55.072 745,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.910.880 100 49.108,0 48.992,0 48.288 55.328 730,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.846.976 100 58.469,0 57.264,0 54.144 72.448 3.917,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.663.776 100 56.637,0 56.592,0 54.848 63.744 985,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.742.752 100 77.427,0 65.328,0 63.328 102.144 13.617,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.520.608 100 75.206,0 64.656,0 63.392 103.808 13.562,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 8.174.112 100 81.741,0 92.048,0 63.616 102.144 13.788,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.914.880 100 79.148,0 86.992,0 63.616 102.688 13.748,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.339.520 100 73.395,0 65.056,0 51.104 101.088 13.740,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 6.174.656 100 61.746,0 58.864,0 49.984 86.560 9.562,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.227.808 100 72.278,0 64.704,0 63.520 101.888 12.754,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.408.832 100 74.088,0 73.904,0 71.616 83.552 1.365,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 7.563.584 100 75.635,0 65.520,0 49.504 104.160 16.887,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.010.784 100 50.107,0 49.088,0 48.224 66.688 3.092,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.869.248 100 48.692,0 48.672,0 47.808 54.080 672,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.567.936 100 55.679,0 55.648,0 54.304 62.720 830,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.976.288 100 49.762,0 49.696,0 48.832 56.480 789,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.880.736 100 48.807,0 48.720,0 47.872 55.232 738,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.873.472 100 48.734,0 48.704,0 47.744 55.168 736,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.866.560 100 48.665,0 48.560,0 47.712 55.456 785,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 5.425.568 100 54.255,0 54.176,0 53.280 61.056 848,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.976.672 100 49.766,0 49.616,0 48.864 56.160 783,0 CUDA_KERNEL prepare(long, float *, float *, float *)
1,0 4.868.864 100 48.688,0 48.560,0 47.904 55.392 783,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.900.224 100 49.002,0 48.896,0 48.256 55.840 801,0 CUDA_KERNEL prepare(long, float *, float *, float *)
2,0 4.852.256 100 48.522,0 48.448,0 47.680 55.360 772,0 CUDA_KERNEL prepare(long, float *, float *, float *)
